district,school,students,grades,year,students_required_to_test_ela,students_tested_ela,pct_students_tested_ela,students_below_expectations_ela,students_at_above_expectations_ela,pct_below_expectations_ela,pct_at_above_expectations_ela
Acton Public Schools,All Schools,All Students,4,2025,28,28,100.00%,10,18,35.70%,64.30%
Acton Public Schools,All Schools,All Students,5,2021,22,22,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,All Schools,All Students,5,2022,31,31,100.00%,7,24,22.60%,77.40%
Acton Public Schools,All Schools,All Students,5,2023,27,27,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,All Schools,All Students,5,2024,19,19,100.00%,5,14,26.30%,73.70%
Acton Public Schools,All Schools,All Students,5,2025,21,21,100.00%,9,12,42.90%,57.10%
Acton Public Schools,All Schools,All Students,6,2021,22,22,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,All Schools,All Students,6,2022,23,23,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,All Schools,All Students,6,2023,33,33,100.00%,12,21,36.40%,63.60%
Acton Public Schools,All Schools,All Students,6,2024,25,25,100.00%,7,18,28.00%,72.00%
Acton Public Schools,All Schools,All Students,6,2025,20,20,100.00%,8,12,40.00%,60.00%
Acton Public Schools,All Schools,All Students,7,2021,12,12,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,All Schools,All Students,7,2022,21,21,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,All Schools,All Students,7,2023,21,21,100.00%,7,14,33.30%,66.70%
Acton Public Schools,All Schools,All Students,7,2024,31,31,100.00%,11,20,35.50%,64.50%
Acton Public Schools,All Schools,All Students,7,2025,22,21,95.50%,14,7,66.70%,33.30%
Acton Public Schools,All Schools,All Students,8,2021,26,26,100.00%,0,26,0.00%,100.00%
Acton Public Schools,All Schools,All Students,8,2022,12,12,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,All Schools,All Students,8,2023,23,23,100.00%,7,16,30.40%,69.60%
Acton Public Schools,All Schools,All Students,8,2024,19,19,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,All Schools,All Students,8,2025,32,32,100.00%,19,13,59.40%,40.60%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2021,138,137,99.30%,17,120,12.40%,87.60%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2022,137,137,100.00%,16,121,11.70%,88.30%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2023,146,146,100.00%,40,106,27.40%,72.60%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2024,143,143,100.00%,44,99,30.80%,69.20%
Acton Public Schools,Acton Elementary School,All Students,All Grades,2025,148,147,99.30%,66,81,44.90%,55.10%
Acton Public Schools,Acton Elementary School,All Students,3,2021,23,23,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,3,2022,25,24,96.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,3,2023,22,22,100.00%,8,14,36.40%,63.60%
Acton Public Schools,Acton Elementary School,All Students,3,2024,25,25,100.00%,9,16,36.00%,64.00%
Acton Public Schools,Acton Elementary School,All Students,3,2025,25,25,100.00%,6,19,24.00%,76.00%
Acton Public Schools,Acton Elementary School,All Students,4,2021,33,32,97.00%,7,25,21.90%,78.10%
Acton Public Schools,Acton Elementary School,All Students,4,2022,25,25,100.00%,0,25,0.00%,100.00%
Acton Public Schools,Acton Elementary School,All Students,4,2023,20,20,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,4,2024,24,24,100.00%,8,16,33.30%,66.70%
Acton Public Schools,Acton Elementary School,All Students,4,2025,28,28,100.00%,10,18,35.70%,64.30%
Acton Public Schools,Acton Elementary School,All Students,5,2021,22,22,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,5,2022,31,31,100.00%,7,24,22.60%,77.40%
Acton Public Schools,Acton Elementary School,All Students,5,2023,27,27,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,5,2024,19,19,100.00%,5,14,26.30%,73.70%
Acton Public Schools,Acton Elementary School,All Students,5,2025,21,21,100.00%,9,12,42.90%,57.10%
Acton Public Schools,Acton Elementary School,All Students,6,2021,22,22,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,6,2022,23,23,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,6,2023,33,33,100.00%,12,21,36.40%,63.60%
Acton Public Schools,Acton Elementary School,All Students,6,2024,25,25,100.00%,7,18,28.00%,72.00%
Acton Public Schools,Acton Elementary School,All Students,6,2025,20,20,100.00%,8,12,40.00%,60.00%
Acton Public Schools,Acton Elementary School,All Students,7,2021,12,12,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,7,2022,21,21,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,7,2023,21,21,100.00%,7,14,33.30%,66.70%
Acton Public Schools,Acton Elementary School,All Students,7,2024,31,31,100.00%,11,20,35.50%,64.50%
Acton Public Schools,Acton Elementary School,All Students,7,2025,22,21,95.50%,14,7,66.70%,33.30%
Acton Public Schools,Acton Elementary School,All Students,8,2021,26,26,100.00%,0,26,0.00%,100.00%
Acton Public Schools,Acton Elementary School,All Students,8,2022,12,12,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,8,2023,23,23,100.00%,7,16,30.40%,69.60%
Acton Public Schools,Acton Elementary School,All Students,8,2024,19,19,100.00%,-1,-1,-1.00%,-1.00%
Acton Public Schools,Acton Elementary School,All Students,8,2025,32,32,100.00%,19,13,59.40%,40.60%
Airline CSD,All Schools,All Students,All Grades,2021,38,36,94.70%,6,30,16.70%,83.30%
Airline CSD,All Schools,All Students,All Grades,2022,36,33,91.70%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,All Grades,2023,33,31,93.90%,15,16,48.40%,51.60%
Airline CSD,All Schools,All Students,All Grades,2024,24,19,79.20%,5,14,26.30%,73.70%
Airline CSD,All Schools,All Students,All Grades,2025,21,21,100.00%,8,13,38.10%,61.90%
Airline CSD,All Schools,All Students,3,2021,5,5,100.00%,0,5,0.00%,100.00%
Airline CSD,All Schools,All Students,3,2022,5,5,100.00%,0,5,0.00%,100.00%
Airline CSD,All Schools,All Students,3,2023,2,2,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,3,2024,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,3,2025,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,4,2021,8,8,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,4,2022,4,4,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,4,2023,6,6,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,4,2024,2,1,50.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,4,2025,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,5,2021,4,4,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,5,2022,10,10,100.00%,0,10,0.00%,100.00%
Airline CSD,All Schools,All Students,5,2023,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,5,2024,5,3,60.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,5,2025,1,1,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,6,2021,4,4,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,6,2022,2,2,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,6,2023,11,11,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,6,2024,1,1,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,6,2025,4,4,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,7,2021,5,5,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,7,2022,5,5,100.00%,0,5,0.00%,100.00%
Airline CSD,All Schools,All Students,7,2023,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,7,2024,6,5,83.30%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,7,2025,2,2,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,8,2021,7,7,100.00%,0,7,0.00%,100.00%
Airline CSD,All Schools,All Students,8,2022,5,4,80.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,8,2023,5,5,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,8,2024,3,2,66.70%,-1,-1,-1.00%,-1.00%
Airline CSD,All Schools,All Students,8,2025,6,6,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,All Grades,2021,33,33,100.00%,5,28,15.20%,84.80%
Airline CSD,Airline Community School,All Students,All Grades,2022,31,30,96.80%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,All Grades,2023,30,30,100.00%,14,16,46.70%,53.30%
Airline CSD,Airline Community School,All Students,All Grades,2024,20,15,75.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,All Grades,2025,19,19,100.00%,6,13,31.60%,68.40%
Airline CSD,Airline Community School,All Students,3,2021,5,5,100.00%,0,5,0.00%,100.00%
Airline CSD,Airline Community School,All Students,3,2022,5,5,100.00%,0,5,0.00%,100.00%
Airline CSD,Airline Community School,All Students,3,2023,2,2,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,3,2024,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,3,2025,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,4,2021,8,8,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,4,2022,4,4,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,4,2023,6,6,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,4,2024,2,1,50.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,4,2025,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,5,2021,4,4,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,5,2022,10,10,100.00%,0,10,0.00%,100.00%
Airline CSD,Airline Community School,All Students,5,2023,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,5,2024,5,3,60.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,5,2025,1,1,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,6,2021,4,4,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,6,2022,2,2,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,6,2023,11,11,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,6,2024,1,1,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,6,2025,4,4,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,7,2021,5,5,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,7,2022,5,5,100.00%,0,5,0.00%,100.00%
Airline CSD,Airline Community School,All Students,7,2023,3,3,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,7,2024,6,5,83.30%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,7,2025,2,2,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,8,2021,7,7,100.00%,0,7,0.00%,100.00%
Airline CSD,Airline Community School,All Students,8,2022,5,4,80.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,8,2023,5,5,100.00%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,8,2024,3,2,66.70%,-1,-1,-1.00%,-1.00%
Airline CSD,Airline Community School,All Students,8,2025,6,6,100.00%,-1,-1,-1.00%,-1.00%
Alexander Public Schools,All Schools,All Students,All Grades,2021,30,30,100.00%,9,21,30.00%,70.00%
Alexander Public Schools,All Schools,All Students,All Grades,2022,27,27,100.00%,7,20,25.90%,74.10%
Alexander Public Schools,All Schools,All Students,All Grades,2023,19,19,100.00%,7,12,36.80%,63.20%
Alexander Public Schools,All Schools,All Students,All Grades,2024,24,24,100.00%,12,12,50.00%,50.00%
Alexander Public Schools,All Schools,All Students,All Grades,2025,22,20,90.90%,7,13,35.00%,65.00%
Alexander Public Schools,All Schools,All Students,3,2021,8,8,100.00%,-1,-1,-1.00%,-1.00%
Alexander Public Schools,All Schools,All Students,3,2022,3,3,100.00%,-1,-1,-1.00%,-1.00%
Alexander Public Schools,All Schools,All Students,3,2023,3,3,100.00%,-1,-1,-1.00%,-1.00%
