district,school,students,grades,year,students_required_to_test_ela,students_tested_ela,pct_students_tested_ela,students_below_expectations_ela,students_at_above_expectations_ela,pct_below_expectations_ela,pct_at_above_expectations_ela
Ellsworth Public Schools,Ellsworth High School,All Students,High School,2025,123,110,89.40%,39,71,35.50%,64.50%
Erskine Academy,Erskine Academy,All Students,All Grades,2022,126,123,97.60%,7,116,5.70%,94.30%
Erskine Academy,Erskine Academy,All Students,All Grades,2023,136,136,100.00%,47,89,34.60%,65.40%
Erskine Academy,Erskine Academy,All Students,All Grades,2024,149,147,98.70%,52,95,35.40%,64.60%
Erskine Academy,Erskine Academy,All Students,All Grades,2025,137,120,87.60%,61,59,50.80%,49.20%
Erskine Academy,Erskine Academy,All Students,High School,2021,122,1,0.80%,-1,-1,-1.00%,-1.00%
Erskine Academy,Erskine Academy,All Students,High School,2022,126,123,97.60%,7,116,5.70%,94.30%
Erskine Academy,Erskine Academy,All Students,High School,2023,136,136,100.00%,47,89,34.60%,65.40%
Erskine Academy,Erskine Academy,All Students,High School,2024,149,147,98.70%,52,95,35.40%,64.60%
Erskine Academy,Erskine Academy,All Students,High School,2025,137,120,87.60%,61,59,50.80%,49.20%
Eustis Public Schools,All Schools,All Students,All Grades,2021,30,29,96.70%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,All Grades,2022,39,39,100.00%,6,33,15.40%,84.60%
Eustis Public Schools,All Schools,All Students,All Grades,2023,40,39,97.50%,23,16,59.00%,41.00%
Eustis Public Schools,All Schools,All Students,All Grades,2024,41,41,100.00%,16,25,39.00%,61.00%
Eustis Public Schools,All Schools,All Students,All Grades,2025,43,41,95.30%,12,29,29.30%,70.70%
Eustis Public Schools,All Schools,All Students,3,2021,13,13,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,3,2022,15,15,100.00%,7,8,46.70%,53.30%
Eustis Public Schools,All Schools,All Students,3,2023,9,8,88.90%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,3,2024,14,14,100.00%,9,5,64.30%,35.70%
Eustis Public Schools,All Schools,All Students,3,2025,10,10,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,4,2021,7,7,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,4,2022,14,14,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,4,2023,17,17,100.00%,10,7,58.80%,41.20%
Eustis Public Schools,All Schools,All Students,4,2024,10,10,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,4,2025,13,13,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,5,2021,8,8,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,5,2022,8,8,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,5,2023,17,17,100.00%,8,9,47.10%,52.90%
Eustis Public Schools,All Schools,All Students,5,2024,17,17,100.00%,8,9,47.10%,52.90%
Eustis Public Schools,All Schools,All Students,5,2025,12,11,91.70%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,6,2021,8,8,100.00%,0,8,0.00%,100.00%
Eustis Public Schools,All Schools,All Students,6,2022,11,11,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,6,2023,9,9,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,6,2024,14,14,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,6,2025,18,18,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,7,2021,6,6,100.00%,0,6,0.00%,100.00%
Eustis Public Schools,All Schools,All Students,7,2022,8,8,100.00%,0,8,0.00%,100.00%
Eustis Public Schools,All Schools,All Students,7,2023,10,10,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,7,2024,9,9,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,7,2025,13,12,92.30%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,8,2021,6,6,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,8,2022,8,8,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,8,2023,8,8,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,8,2024,10,10,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,All Schools,All Students,8,2025,9,9,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,All Grades,2021,48,48,100.00%,6,42,12.50%,87.50%
Eustis Public Schools,Stratton Elementary School,All Students,All Grades,2022,64,64,100.00%,12,52,18.80%,81.30%
Eustis Public Schools,Stratton Elementary School,All Students,All Grades,2023,70,69,98.60%,33,36,47.80%,52.20%
Eustis Public Schools,Stratton Elementary School,All Students,All Grades,2024,74,74,100.00%,26,48,35.10%,64.90%
Eustis Public Schools,Stratton Elementary School,All Students,All Grades,2025,75,73,97.30%,15,58,20.50%,79.50%
Eustis Public Schools,Stratton Elementary School,All Students,3,2021,13,13,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,3,2022,15,15,100.00%,7,8,46.70%,53.30%
Eustis Public Schools,Stratton Elementary School,All Students,3,2023,9,8,88.90%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,3,2024,14,14,100.00%,9,5,64.30%,35.70%
Eustis Public Schools,Stratton Elementary School,All Students,3,2025,10,10,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,4,2021,7,7,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,4,2022,14,14,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,4,2023,17,17,100.00%,10,7,58.80%,41.20%
Eustis Public Schools,Stratton Elementary School,All Students,4,2024,10,10,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,4,2025,13,13,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,5,2021,8,8,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,5,2022,8,8,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,5,2023,17,17,100.00%,8,9,47.10%,52.90%
Eustis Public Schools,Stratton Elementary School,All Students,5,2024,17,17,100.00%,8,9,47.10%,52.90%
Eustis Public Schools,Stratton Elementary School,All Students,5,2025,12,11,91.70%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,6,2021,8,8,100.00%,0,8,0.00%,100.00%
Eustis Public Schools,Stratton Elementary School,All Students,6,2022,11,11,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,6,2023,9,9,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,6,2024,14,14,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,6,2025,18,18,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,7,2021,6,6,100.00%,0,6,0.00%,100.00%
Eustis Public Schools,Stratton Elementary School,All Students,7,2022,8,8,100.00%,0,8,0.00%,100.00%
Eustis Public Schools,Stratton Elementary School,All Students,7,2023,10,10,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,7,2024,9,9,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,7,2025,13,12,92.30%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,8,2021,6,6,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,8,2022,8,8,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,8,2023,8,8,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,8,2024,10,10,100.00%,-1,-1,-1.00%,-1.00%
Eustis Public Schools,Stratton Elementary School,All Students,8,2025,9,9,100.00%,-1,-1,-1.00%,-1.00%
Falmouth Public Schools,All Schools,All Students,All Grades,2021,"1,110","1,028",92.60%,40,988,3.90%,96.10%
Falmouth Public Schools,All Schools,All Students,All Grades,2022,"1,075","1,016",94.50%,53,963,5.20%,94.80%
Falmouth Public Schools,All Schools,All Students,All Grades,2023,"1,083","1,057",97.60%,171,886,16.20%,83.80%
Falmouth Public Schools,All Schools,All Students,All Grades,2024,"1,020",999,97.90%,158,841,15.80%,84.20%
Falmouth Public Schools,All Schools,All Students,All Grades,2025,"1,021",997,97.60%,151,846,15.10%,84.90%
Falmouth Public Schools,All Schools,All Students,3,2021,139,138,99.30%,6,132,4.30%,95.70%
Falmouth Public Schools,All Schools,All Students,3,2022,154,150,97.40%,8,142,5.30%,94.70%
Falmouth Public Schools,All Schools,All Students,3,2023,157,156,99.40%,36,120,23.10%,76.90%
Falmouth Public Schools,All Schools,All Students,3,2024,120,120,100.00%,27,93,22.50%,77.50%
Falmouth Public Schools,All Schools,All Students,3,2025,153,152,99.30%,24,128,15.80%,84.20%
Falmouth Public Schools,All Schools,All Students,4,2021,138,129,93.50%,6,123,4.70%,95.30%
Falmouth Public Schools,All Schools,All Students,4,2022,140,139,99.30%,-1,-1,-1.00%,-1.00%
Falmouth Public Schools,All Schools,All Students,4,2023,152,151,99.30%,15,136,9.90%,90.10%
Falmouth Public Schools,All Schools,All Students,4,2024,156,155,99.40%,25,130,16.10%,83.90%
Falmouth Public Schools,All Schools,All Students,4,2025,118,116,98.30%,23,93,19.80%,80.20%
Falmouth Public Schools,All Schools,All Students,5,2021,137,131,95.60%,-1,-1,-1.00%,-1.00%
Falmouth Public Schools,All Schools,All Students,5,2022,139,132,95.00%,8,124,6.10%,93.90%
Falmouth Public Schools,All Schools,All Students,5,2023,139,138,99.30%,16,122,11.60%,88.40%
Falmouth Public Schools,All Schools,All Students,5,2024,151,147,97.40%,18,129,12.20%,87.80%
Falmouth Public Schools,All Schools,All Students,5,2025,154,152,98.70%,23,129,15.10%,84.90%
Falmouth Public Schools,All Schools,All Students,6,2021,171,161,94.20%,6,155,3.70%,96.30%
Falmouth Public Schools,All Schools,All Students,6,2022,133,131,98.50%,-1,-1,-1.00%,-1.00%
Falmouth Public Schools,All Schools,All Students,6,2023,137,129,94.20%,26,103,20.20%,79.80%
Falmouth Public Schools,All Schools,All Students,6,2024,138,137,99.30%,11,126,8.00%,92.00%
Falmouth Public Schools,All Schools,All Students,6,2025,150,150,100.00%,17,133,11.30%,88.70%
Falmouth Public Schools,All Schools,All Students,7,2021,174,163,93.70%,7,156,4.30%,95.70%
Falmouth Public Schools,All Schools,All Students,7,2022,172,168,97.70%,-1,-1,-1.00%,-1.00%
Falmouth Public Schools,All Schools,All Students,7,2023,135,133,98.50%,11,122,8.30%,91.70%
Falmouth Public Schools,All Schools,All Students,7,2024,143,138,96.50%,22,116,15.90%,84.10%
Falmouth Public Schools,All Schools,All Students,7,2025,139,136,97.80%,19,117,14.00%,86.00%
Falmouth Public Schools,All Schools,All Students,8,2021,193,189,97.90%,6,183,3.20%,96.80%
Falmouth Public Schools,All Schools,All Students,8,2022,175,172,98.30%,10,162,5.80%,94.20%
Falmouth Public Schools,All Schools,All Students,8,2023,169,164,97.00%,16,148,9.80%,90.20%
Falmouth Public Schools,All Schools,All Students,8,2024,137,134,97.80%,18,116,13.40%,86.60%
Falmouth Public Schools,All Schools,All Students,8,2025,144,137,95.10%,25,112,18.20%,81.80%
Falmouth Public Schools,All Schools,All Students,High School,2021,158,117,74.10%,5,112,4.30%,95.70%
Falmouth Public Schools,All Schools,All Students,High School,2022,164,126,76.80%,19,107,15.10%,84.90%
Falmouth Public Schools,All Schools,All Students,High School,2023,191,184,96.30%,50,134,27.20%,72.80%
Falmouth Public Schools,All Schools,All Students,High School,2024,173,167,96.50%,37,130,22.20%,77.80%
Falmouth Public Schools,All Schools,All Students,High School,2025,158,153,96.80%,20,133,13.10%,86.90%
Falmouth Public Schools,Falmouth Elementary School,All Students,All Grades,2021,414,398,96.10%,16,382,4.00%,96.00%
Falmouth Public Schools,Falmouth Elementary School,All Students,All Grades,2022,433,421,97.20%,19,402,4.50%,95.50%
Falmouth Public Schools,Falmouth Elementary School,All Students,All Grades,2023,448,445,99.30%,67,378,15.10%,84.90%
Falmouth Public Schools,Falmouth Elementary School,All Students,All Grades,2024,427,422,98.80%,70,352,16.60%,83.40%
Falmouth Public Schools,Falmouth Elementary School,All Students,All Grades,2025,425,420,98.80%,70,350,16.70%,83.30%
Falmouth Public Schools,Falmouth Elementary School,All Students,3,2021,139,138,99.30%,6,132,4.30%,95.70%
Falmouth Public Schools,Falmouth Elementary School,All Students,3,2022,154,150,97.40%,8,142,5.30%,94.70%
Falmouth Public Schools,Falmouth Elementary School,All Students,3,2023,157,156,99.40%,36,120,23.10%,76.90%
Falmouth Public Schools,Falmouth Elementary School,All Students,3,2024,120,120,100.00%,27,93,22.50%,77.50%
Falmouth Public Schools,Falmouth Elementary School,All Students,3,2025,153,152,99.30%,24,128,15.80%,84.20%
Falmouth Public Schools,Falmouth Elementary School,All Students,4,2021,138,129,93.50%,6,123,4.70%,95.30%
Falmouth Public Schools,Falmouth Elementary School,All Students,4,2022,140,139,99.30%,-1,-1,-1.00%,-1.00%
Falmouth Public Schools,Falmouth Elementary School,All Students,4,2023,152,151,99.30%,15,136,9.90%,90.10%
Falmouth Public Schools,Falmouth Elementary School,All Students,4,2024,156,155,99.40%,25,130,16.10%,83.90%
Falmouth Public Schools,Falmouth Elementary School,All Students,4,2025,118,116,98.30%,23,93,19.80%,80.20%
Falmouth Public Schools,Falmouth Elementary School,All Students,5,2021,137,131,95.60%,-1,-1,-1.00%,-1.00%
Falmouth Public Schools,Falmouth Elementary School,All Students,5,2022,139,132,95.00%,8,124,6.10%,93.90%
Falmouth Public Schools,Falmouth Elementary School,All Students,5,2023,139,138,99.30%,16,122,11.60%,88.40%
Falmouth Public Schools,Falmouth Elementary School,All Students,5,2024,151,147,97.40%,18,129,12.20%,87.80%
Falmouth Public Schools,Falmouth Elementary School,All Students,5,2025,154,152,98.70%,23,129,15.10%,84.90%
Falmouth Public Schools,Falmouth High School,All Students,All Grades,2021,158,117,74.10%,5,112,4.30%,95.70%
Falmouth Public Schools,Falmouth High School,All Students,All Grades,2022,164,126,76.80%,19,107,15.10%,84.90%
Falmouth Public Schools,Falmouth High School,All Students,All Grades,2023,191,184,96.30%,50,134,27.20%,72.80%
Falmouth Public Schools,Falmouth High School,All Students,All Grades,2024,173,167,96.50%,37,130,22.20%,77.80%
Falmouth Public Schools,Falmouth High School,All Students,All Grades,2025,158,153,96.80%,20,133,13.10%,86.90%
Falmouth Public Schools,Falmouth High School,All Students,High School,2021,158,117,74.10%,5,112,4.30%,95.70%
Falmouth Public Schools,Falmouth High School,All Students,High School,2022,164,126,76.80%,19,107,15.10%,84.90%
Falmouth Public Schools,Falmouth High School,All Students,High School,2023,191,184,96.30%,50,134,27.20%,72.80%
Falmouth Public Schools,Falmouth High School,All Students,High School,2024,173,167,96.50%,37,130,22.20%,77.80%
Falmouth Public Schools,Falmouth High School,All Students,High School,2025,158,153,96.80%,20,133,13.10%,86.90%
Falmouth Public Schools,Falmouth Middle School,All Students,All Grades,2021,538,513,95.40%,19,494,3.70%,96.30%
Falmouth Public Schools,Falmouth Middle School,All Students,All Grades,2022,480,471,98.10%,15,456,3.20%,96.80%
Falmouth Public Schools,Falmouth Middle School,All Students,All Grades,2023,441,426,96.60%,53,373,12.40%,87.60%
Falmouth Public Schools,Falmouth Middle School,All Students,All Grades,2024,418,409,97.80%,51,358,12.50%,87.50%
Falmouth Public Schools,Falmouth Middle School,All Students,All Grades,2025,433,423,97.70%,61,362,14.40%,85.60%
Falmouth Public Schools,Falmouth Middle School,All Students,6,2021,171,161,94.20%,6,155,3.70%,96.30%
Falmouth Public Schools,Falmouth Middle School,All Students,6,2022,133,131,98.50%,-1,-1,-1.00%,-1.00%
Falmouth Public Schools,Falmouth Middle School,All Students,6,2023,137,129,94.20%,26,103,20.20%,79.80%
Falmouth Public Schools,Falmouth Middle School,All Students,6,2024,138,137,99.30%,11,126,8.00%,92.00%
Falmouth Public Schools,Falmouth Middle School,All Students,6,2025,150,150,100.00%,17,133,11.30%,88.70%
Falmouth Public Schools,Falmouth Middle School,All Students,7,2021,174,163,93.70%,7,156,4.30%,95.70%
Falmouth Public Schools,Falmouth Middle School,All Students,7,2022,172,168,97.70%,-1,-1,-1.00%,-1.00%
Falmouth Public Schools,Falmouth Middle School,All Students,7,2023,135,133,98.50%,11,122,8.30%,91.70%
Falmouth Public Schools,Falmouth Middle School,All Students,7,2024,143,138,96.50%,22,116,15.90%,84.10%
Falmouth Public Schools,Falmouth Middle School,All Students,7,2025,139,136,97.80%,19,117,14.00%,86.00%
Falmouth Public Schools,Falmouth Middle School,All Students,8,2021,193,189,97.90%,6,183,3.20%,96.80%
Falmouth Public Schools,Falmouth Middle School,All Students,8,2022,175,172,98.30%,10,162,5.80%,94.20%
Falmouth Public Schools,Falmouth Middle School,All Students,8,2023,169,164,97.00%,16,148,9.80%,90.20%
Falmouth Public Schools,Falmouth Middle School,All Students,8,2024,137,134,97.80%,18,116,13.40%,86.60%
Falmouth Public Schools,Falmouth Middle School,All Students,8,2025,144,137,95.10%,25,112,18.20%,81.80%
Fayette Public Schools,All Schools,All Students,All Grades,2021,87,76,87.40%,12,64,15.80%,84.20%
Fayette Public Schools,All Schools,All Students,All Grades,2022,86,82,95.30%,15,67,18.30%,81.70%
Fayette Public Schools,All Schools,All Students,All Grades,2023,73,72,98.60%,21,51,29.20%,70.80%
Fayette Public Schools,All Schools,All Students,All Grades,2024,72,71,98.60%,26,45,36.60%,63.40%
Fayette Public Schools,All Schools,All Students,All Grades,2025,75,75,100.00%,26,49,34.70%,65.30%
Fayette Public Schools,All Schools,All Students,3,2021,10,9,90.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,3,2022,9,9,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,3,2023,11,11,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,3,2024,10,10,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,3,2025,8,8,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,4,2021,16,15,93.80%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,4,2022,11,11,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,4,2023,10,10,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,4,2024,13,13,100.00%,7,6,53.80%,46.20%
Fayette Public Schools,All Schools,All Students,4,2025,9,9,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,5,2021,15,15,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,5,2022,14,14,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,5,2023,8,8,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,5,2024,10,10,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,All Schools,All Students,5,2025,12,12,100.00%,5,7,41.70%,58.30%
Fayette Public Schools,Fayette Central School,All Students,All Grades,2021,41,39,95.10%,6,33,15.40%,84.60%
Fayette Public Schools,Fayette Central School,All Students,All Grades,2022,34,34,100.00%,6,28,17.60%,82.40%
Fayette Public Schools,Fayette Central School,All Students,All Grades,2023,29,29,100.00%,10,19,34.50%,65.50%
Fayette Public Schools,Fayette Central School,All Students,All Grades,2024,33,33,100.00%,17,16,51.50%,48.50%
Fayette Public Schools,Fayette Central School,All Students,All Grades,2025,29,29,100.00%,12,17,41.40%,58.60%
Fayette Public Schools,Fayette Central School,All Students,3,2021,10,9,90.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,3,2022,9,9,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,3,2023,11,11,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,3,2024,10,10,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,3,2025,8,8,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,4,2021,16,15,93.80%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,4,2022,11,11,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,4,2023,10,10,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,4,2024,13,13,100.00%,7,6,53.80%,46.20%
Fayette Public Schools,Fayette Central School,All Students,4,2025,9,9,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,5,2021,15,15,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,5,2022,14,14,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,5,2023,8,8,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,5,2024,10,10,100.00%,-1,-1,-1.00%,-1.00%
Fayette Public Schools,Fayette Central School,All Students,5,2025,12,12,100.00%,5,7,41.70%,58.30%
Fiddlehead School of Arts and Sciences,All Schools,All Students,All Grades,2021,94,87,92.60%,9,78,10.30%,89.70%
Fiddlehead School of Arts and Sciences,All Schools,All Students,All Grades,2022,118,104,88.10%,13,91,12.50%,87.50%
Fiddlehead School of Arts and Sciences,All Schools,All Students,All Grades,2023,109,106,97.20%,32,74,30.20%,69.80%
Fiddlehead School of Arts and Sciences,All Schools,All Students,All Grades,2024,105,102,97.10%,34,68,33.30%,66.70%
Fiddlehead School of Arts and Sciences,All Schools,All Students,All Grades,2025,90,81,90.00%,31,50,38.30%,61.70%
Fiddlehead School of Arts and Sciences,All Schools,All Students,3,2021,21,19,90.50%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,3,2022,23,19,82.60%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,3,2023,12,12,100.00%,5,7,41.70%,58.30%
Fiddlehead School of Arts and Sciences,All Schools,All Students,3,2024,15,15,100.00%,5,10,33.30%,66.70%
Fiddlehead School of Arts and Sciences,All Schools,All Students,3,2025,17,15,88.20%,8,7,53.30%,46.70%
Fiddlehead School of Arts and Sciences,All Schools,All Students,4,2021,20,19,95.00%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,4,2022,22,17,77.30%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,4,2023,20,20,100.00%,8,12,40.00%,60.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,4,2024,14,14,100.00%,5,9,35.70%,64.30%
Fiddlehead School of Arts and Sciences,All Schools,All Students,4,2025,15,15,100.00%,5,10,33.30%,66.70%
Fiddlehead School of Arts and Sciences,All Schools,All Students,5,2021,21,17,81.00%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,5,2022,21,20,95.20%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,5,2023,18,17,94.40%,5,12,29.40%,70.60%
Fiddlehead School of Arts and Sciences,All Schools,All Students,5,2024,18,18,100.00%,9,9,50.00%,50.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,5,2025,16,16,100.00%,9,7,56.30%,43.80%
Fiddlehead School of Arts and Sciences,All Schools,All Students,6,2021,20,19,95.00%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,6,2022,19,17,89.50%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,6,2023,20,20,100.00%,6,14,30.00%,70.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,6,2024,18,17,94.40%,5,12,29.40%,70.60%
Fiddlehead School of Arts and Sciences,All Schools,All Students,6,2025,12,12,100.00%,5,7,41.70%,58.30%
Fiddlehead School of Arts and Sciences,All Schools,All Students,7,2021,14,13,92.90%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,7,2022,21,19,90.50%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,7,2023,19,18,94.70%,5,13,27.80%,72.20%
Fiddlehead School of Arts and Sciences,All Schools,All Students,7,2024,20,20,100.00%,5,15,25.00%,75.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,7,2025,13,9,69.20%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,8,2022,12,12,100.00%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,8,2023,20,19,95.00%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,All Schools,All Students,8,2024,20,18,90.00%,5,13,27.80%,72.20%
Fiddlehead School of Arts and Sciences,All Schools,All Students,8,2025,16,13,81.30%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,All Grades,2021,94,87,92.60%,9,78,10.30%,89.70%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,All Grades,2022,118,104,88.10%,13,91,12.50%,87.50%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,All Grades,2023,109,106,97.20%,32,74,30.20%,69.80%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,All Grades,2024,105,102,97.10%,34,68,33.30%,66.70%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,All Grades,2025,89,80,89.90%,31,49,38.80%,61.30%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,3,2021,21,19,90.50%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,3,2022,23,19,82.60%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,3,2023,12,12,100.00%,5,7,41.70%,58.30%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,3,2024,15,15,100.00%,5,10,33.30%,66.70%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,3,2025,17,15,88.20%,8,7,53.30%,46.70%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,4,2021,20,19,95.00%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,4,2022,22,17,77.30%,-1,-1,-1.00%,-1.00%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,4,2023,20,20,100.00%,8,12,40.00%,60.00%
Fiddlehead School of Arts and Sciences,Fiddlehead School of Arts & Science,All Students,4,2024,14,14,100.00%,5,9,35.70%,64.30%
