district,school,students,grades,year,students_required_to_test_english,students_tested_english,pct_students_tested_english,students_below_expectations_english,students_at_above_expectations_english,pct_below_expectations_english,pct_at_above_expectations_english
Community Regional Charter School,Dimensions Academy,All Students,3,2023,23,23,100.0%,13,10,56.5%,43.5%
Community Regional Charter School,Dimensions Academy,All Students,3,2024,14,14,100.0%,9,5,64.3%,35.7%
Community Regional Charter School,Dimensions Academy,All Students,3,2025,24,24,100.0%,19,5,79.2%,20.8%
Community Regional Charter School,Dimensions Academy,All Students,4,2022,15,15,100.0%,6,9,40.0%,60.0%
Community Regional Charter School,Dimensions Academy,All Students,4,2023,21,18,85.7%,9,9,50.0%,50.0%
Community Regional Charter School,Dimensions Academy,All Students,4,2024,27,27,100.0%,17,10,63.0%,37.0%
Community Regional Charter School,Dimensions Academy,All Students,4,2025,16,16,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Dimensions Academy,All Students,5,2022,10,10,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Dimensions Academy,All Students,5,2023,15,15,100.0%,5,10,33.3%,66.7%
Community Regional Charter School,Dimensions Academy,All Students,5,2024,22,22,100.0%,9,13,40.9%,59.1%
Community Regional Charter School,Dimensions Academy,All Students,5,2025,29,27,93.1%,17,10,63.0%,37.0%
Community Regional Charter School,Dimensions Academy,All Students,6,2022,18,17,94.4%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Dimensions Academy,All Students,6,2023,11,11,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Dimensions Academy,All Students,6,2024,16,16,100.0%,10,6,62.5%,37.5%
Community Regional Charter School,Dimensions Academy,All Students,6,2025,22,22,100.0%,7,15,31.8%,68.2%
Community Regional Charter School,Dimensions Academy,All Students,7,2022,6,6,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Dimensions Academy,All Students,7,2023,12,9,75.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Dimensions Academy,All Students,7,2024,7,7,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Dimensions Academy,All Students,7,2025,5,5,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Dimensions Academy,All Students,8,2025,2,2,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Overman Academy,All Students,All Grades,2022,74,44,59.5%,13,31,29.5%,70.5%
Community Regional Charter School,Overman Academy,All Students,All Grades,2023,77,65,84.4%,37,28,56.9%,43.1%
Community Regional Charter School,Overman Academy,All Students,All Grades,2024,69,67,97.1%,33,34,49.3%,50.7%
Community Regional Charter School,Overman Academy,All Students,All Grades,2025,62,61,98.4%,35,26,57.4%,42.6%
Community Regional Charter School,Overman Academy,All Students,6,2022,1,0,0.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Overman Academy,All Students,6,2024,6,6,100.0%,0,6,0.0%,100.0%
Community Regional Charter School,Overman Academy,All Students,6,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Overman Academy,All Students,7,2022,21,21,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Overman Academy,All Students,7,2023,15,12,80.0%,7,5,58.3%,41.7%
Community Regional Charter School,Overman Academy,All Students,7,2024,9,9,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Overman Academy,All Students,7,2025,14,13,92.9%,6,7,46.2%,53.8%
Community Regional Charter School,Overman Academy,All Students,8,2022,27,23,85.2%,9,14,39.1%,60.9%
Community Regional Charter School,Overman Academy,All Students,8,2023,29,25,86.2%,15,10,60.0%,40.0%
Community Regional Charter School,Overman Academy,All Students,8,2024,24,22,91.7%,13,9,59.1%,40.9%
Community Regional Charter School,Overman Academy,All Students,8,2025,15,15,100.0%,-1,-1,-1.0%,-1.0%
Community Regional Charter School,Overman Academy,All Students,High School,2022,25,0,0.0%,0,0,0.0%,0.0%
Community Regional Charter School,Overman Academy,All Students,High School,2023,33,28,84.8%,15,13,53.6%,46.4%
Community Regional Charter School,Overman Academy,All Students,High School,2024,30,30,100.0%,18,12,60.0%,40.0%
Community Regional Charter School,Overman Academy,All Students,High School,2025,30,30,100.0%,18,12,60.0%,40.0%
Cooper Public Schools,All Schools,All Students,All Grades,2021,7,7,100.0%,-1,-1,-1.0%,-1.0%
Cooper Public Schools,All Schools,All Students,All Grades,2022,8,4,50.0%,-1,-1,-1.0%,-1.0%
Cooper Public Schools,All Schools,All Students,All Grades,2023,13,10,76.9%,-1,-1,-1.0%,-1.0%
Cooper Public Schools,All Schools,All Students,All Grades,2024,8,7,87.5%,-1,-1,-1.0%,-1.0%
Cooper Public Schools,All Schools,All Students,All Grades,2025,13,12,92.3%,-1,-1,-1.0%,-1.0%
Coplin Plt Public Schools,All Schools,All Students,All Grades,2021,5,4,80.0%,-1,-1,-1.0%,-1.0%
Coplin Plt Public Schools,All Schools,All Students,All Grades,2022,6,6,100.0%,-1,-1,-1.0%,-1.0%
Coplin Plt Public Schools,All Schools,All Students,All Grades,2023,5,5,100.0%,-1,-1,-1.0%,-1.0%
Coplin Plt Public Schools,All Schools,All Students,All Grades,2024,5,5,100.0%,-1,-1,-1.0%,-1.0%
Coplin Plt Public Schools,All Schools,All Students,All Grades,2025,5,5,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,All Grades,2021,8,7,87.5%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,All Grades,2022,9,7,77.8%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,All Grades,2023,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,All Grades,2024,7,6,85.7%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,All Grades,2025,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,3,2022,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,3,2023,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,3,2024,1,0,0.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,4,2023,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,4,2024,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,4,2025,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,5,2021,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,5,2024,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,5,2025,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,6,2021,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,6,2022,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,6,2025,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,7,2021,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,7,2022,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,8,2021,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,All Schools,All Students,8,2022,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,All Grades,2021,6,6,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,All Grades,2022,7,7,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,All Grades,2023,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,All Grades,2024,5,4,80.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,All Grades,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,3,2022,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,3,2023,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,3,2024,1,0,0.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,4,2023,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,4,2024,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,4,2025,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,5,2021,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,5,2024,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,5,2025,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,6,2021,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,6,2022,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,6,2025,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,7,2021,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,7,2022,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,8,2021,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cranberry Isles Public Schools,Cranberry Isles School,All Students,8,2022,2,2,100.0%,-1,-1,-1.0%,-1.0%
Crawford Public Schools,All Schools,All Students,All Grades,2021,6,6,100.0%,-1,-1,-1.0%,-1.0%
Crawford Public Schools,All Schools,All Students,All Grades,2022,4,3,75.0%,-1,-1,-1.0%,-1.0%
Crawford Public Schools,All Schools,All Students,All Grades,2023,2,2,100.0%,-1,-1,-1.0%,-1.0%
Crawford Public Schools,All Schools,All Students,All Grades,2024,6,6,100.0%,-1,-1,-1.0%,-1.0%
Crawford Public Schools,All Schools,All Students,All Grades,2025,5,5,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,All Grades,2021,43,39,90.7%,6,33,15.4%,84.6%
Cutler Public Schools,All Schools,All Students,All Grades,2022,49,38,77.6%,6,32,15.8%,84.2%
Cutler Public Schools,All Schools,All Students,All Grades,2023,40,30,75.0%,11,19,36.7%,63.3%
Cutler Public Schools,All Schools,All Students,All Grades,2024,34,34,100.0%,14,20,41.2%,58.8%
Cutler Public Schools,All Schools,All Students,All Grades,2025,26,26,100.0%,12,14,46.2%,53.8%
Cutler Public Schools,All Schools,All Students,3,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,3,2022,7,6,85.7%,0,6,0.0%,100.0%
Cutler Public Schools,All Schools,All Students,3,2023,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,3,2024,5,5,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,3,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,4,2021,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,4,2022,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,4,2023,5,5,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,4,2024,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,4,2025,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,5,2021,6,6,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,5,2022,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,5,2023,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,5,2024,5,5,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,5,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,6,2021,8,8,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,6,2022,9,9,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,6,2023,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,6,2024,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,6,2025,5,5,100.0%,0,5,0.0%,100.0%
Cutler Public Schools,All Schools,All Students,7,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,7,2022,10,10,100.0%,0,10,0.0%,100.0%
Cutler Public Schools,All Schools,All Students,7,2023,7,7,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,7,2024,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,7,2025,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,8,2021,13,13,100.0%,0,13,0.0%,100.0%
Cutler Public Schools,All Schools,All Students,8,2022,7,7,100.0%,0,7,0.0%,100.0%
Cutler Public Schools,All Schools,All Students,8,2023,10,10,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,All Schools,All Students,8,2024,8,8,100.0%,0,8,0.0%,100.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,All Grades,2021,36,36,100.0%,5,31,13.9%,86.1%
Cutler Public Schools,Bay Ridge Elementary,All Students,All Grades,2022,38,37,97.4%,5,32,13.5%,86.5%
Cutler Public Schools,Bay Ridge Elementary,All Students,All Grades,2023,29,29,100.0%,10,19,34.5%,65.5%
Cutler Public Schools,Bay Ridge Elementary,All Students,All Grades,2024,26,26,100.0%,8,18,30.8%,69.2%
Cutler Public Schools,Bay Ridge Elementary,All Students,All Grades,2025,17,17,100.0%,8,9,47.1%,52.9%
Cutler Public Schools,Bay Ridge Elementary,All Students,3,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,3,2022,7,6,85.7%,0,6,0.0%,100.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,3,2023,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,3,2024,5,5,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,3,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,4,2021,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,4,2022,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,4,2023,5,5,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,4,2024,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,4,2025,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,5,2021,6,6,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,5,2022,1,1,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,5,2023,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,5,2024,5,5,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,5,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,6,2021,8,8,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,6,2022,9,9,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,6,2023,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,6,2024,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,6,2025,5,5,100.0%,0,5,0.0%,100.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,7,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,7,2022,10,10,100.0%,0,10,0.0%,100.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,7,2023,7,7,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,7,2024,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,7,2025,2,2,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,8,2021,13,13,100.0%,0,13,0.0%,100.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,8,2022,7,7,100.0%,0,7,0.0%,100.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,8,2023,10,10,100.0%,-1,-1,-1.0%,-1.0%
Cutler Public Schools,Bay Ridge Elementary,All Students,8,2024,8,8,100.0%,0,8,0.0%,100.0%
Damariscotta Public Schools,All Schools,All Students,All Grades,2021,20,14,70.0%,-1,-1,-1.0%,-1.0%
Damariscotta Public Schools,All Schools,All Students,All Grades,2022,21,21,100.0%,-1,-1,-1.0%,-1.0%
Damariscotta Public Schools,All Schools,All Students,All Grades,2023,23,19,82.6%,5,14,26.3%,73.7%
Damariscotta Public Schools,All Schools,All Students,All Grades,2024,21,19,90.5%,10,9,52.6%,47.4%
Damariscotta Public Schools,All Schools,All Students,All Grades,2025,26,26,100.0%,16,10,61.5%,38.5%
Dayton Public Schools,All Schools,All Students,All Grades,2021,173,92,53.2%,7,85,7.6%,92.4%
Dayton Public Schools,All Schools,All Students,All Grades,2022,166,159,95.8%,16,143,10.1%,89.9%
Dayton Public Schools,All Schools,All Students,All Grades,2023,168,167,99.4%,56,111,33.5%,66.5%
Dayton Public Schools,All Schools,All Students,All Grades,2024,159,158,99.4%,45,113,28.5%,71.5%
Dayton Public Schools,All Schools,All Students,All Grades,2025,165,164,99.4%,59,105,36.0%,64.0%
Dayton Public Schools,All Schools,All Students,3,2021,15,15,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,All Schools,All Students,3,2022,17,17,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,All Schools,All Students,3,2023,23,23,100.0%,11,12,47.8%,52.2%
Dayton Public Schools,All Schools,All Students,3,2024,13,13,100.0%,8,5,61.5%,38.5%
Dayton Public Schools,All Schools,All Students,3,2025,25,25,100.0%,12,13,48.0%,52.0%
Dayton Public Schools,All Schools,All Students,4,2021,21,21,100.0%,0,21,0.0%,100.0%
Dayton Public Schools,All Schools,All Students,4,2022,13,13,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,All Schools,All Students,4,2023,17,17,100.0%,5,12,29.4%,70.6%
Dayton Public Schools,All Schools,All Students,4,2024,24,24,100.0%,10,14,41.7%,58.3%
Dayton Public Schools,All Schools,All Students,4,2025,14,14,100.0%,7,7,50.0%,50.0%
Dayton Public Schools,All Schools,All Students,5,2021,18,18,100.0%,0,18,0.0%,100.0%
Dayton Public Schools,All Schools,All Students,5,2022,22,22,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,All Schools,All Students,5,2023,15,15,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,All Schools,All Students,5,2024,17,17,100.0%,5,12,29.4%,70.6%
Dayton Public Schools,All Schools,All Students,5,2025,22,22,100.0%,7,15,31.8%,68.2%
Dayton Public Schools,Dayton Consolidated School,All Students,All Grades,2021,54,54,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,Dayton Consolidated School,All Students,All Grades,2022,52,52,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,Dayton Consolidated School,All Students,All Grades,2023,55,55,100.0%,20,35,36.4%,63.6%
Dayton Public Schools,Dayton Consolidated School,All Students,All Grades,2024,54,54,100.0%,23,31,42.6%,57.4%
Dayton Public Schools,Dayton Consolidated School,All Students,All Grades,2025,61,61,100.0%,26,35,42.6%,57.4%
Dayton Public Schools,Dayton Consolidated School,All Students,3,2021,15,15,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,Dayton Consolidated School,All Students,3,2022,17,17,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,Dayton Consolidated School,All Students,3,2023,23,23,100.0%,11,12,47.8%,52.2%
Dayton Public Schools,Dayton Consolidated School,All Students,3,2024,13,13,100.0%,8,5,61.5%,38.5%
Dayton Public Schools,Dayton Consolidated School,All Students,3,2025,25,25,100.0%,12,13,48.0%,52.0%
Dayton Public Schools,Dayton Consolidated School,All Students,4,2021,21,21,100.0%,0,21,0.0%,100.0%
Dayton Public Schools,Dayton Consolidated School,All Students,4,2022,13,13,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,Dayton Consolidated School,All Students,4,2023,17,17,100.0%,5,12,29.4%,70.6%
Dayton Public Schools,Dayton Consolidated School,All Students,4,2024,24,24,100.0%,10,14,41.7%,58.3%
Dayton Public Schools,Dayton Consolidated School,All Students,4,2025,14,14,100.0%,7,7,50.0%,50.0%
Dayton Public Schools,Dayton Consolidated School,All Students,5,2021,18,18,100.0%,0,18,0.0%,100.0%
Dayton Public Schools,Dayton Consolidated School,All Students,5,2022,22,22,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,Dayton Consolidated School,All Students,5,2023,15,15,100.0%,-1,-1,-1.0%,-1.0%
Dayton Public Schools,Dayton Consolidated School,All Students,5,2024,17,17,100.0%,5,12,29.4%,70.6%
Dayton Public Schools,Dayton Consolidated School,All Students,5,2025,22,22,100.0%,7,15,31.8%,68.2%
Deblois Public Schools,All Schools,All Students,All Grades,2021,3,3,100.0%,-1,-1,-1.0%,-1.0%
Deblois Public Schools,All Schools,All Students,All Grades,2022,6,5,83.3%,-1,-1,-1.0%,-1.0%
Deblois Public Schools,All Schools,All Students,All Grades,2023,8,8,100.0%,-1,-1,-1.0%,-1.0%
Deblois Public Schools,All Schools,All Students,All Grades,2024,6,6,100.0%,-1,-1,-1.0%,-1.0%
Deblois Public Schools,All Schools,All Students,All Grades,2025,4,4,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,All Grades,2021,126,106,84.1%,5,101,4.7%,95.3%
Dedham Public Schools,All Schools,All Students,All Grades,2022,137,118,86.1%,7,111,5.9%,94.1%
Dedham Public Schools,All Schools,All Students,All Grades,2023,117,105,89.7%,24,81,22.9%,77.1%
Dedham Public Schools,All Schools,All Students,All Grades,2024,129,123,95.3%,33,90,26.8%,73.2%
Dedham Public Schools,All Schools,All Students,All Grades,2025,132,130,98.5%,28,102,21.5%,78.5%
Dedham Public Schools,All Schools,All Students,3,2021,16,16,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,3,2022,22,21,95.5%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,3,2023,11,11,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,3,2024,16,16,100.0%,5,11,31.3%,68.8%
Dedham Public Schools,All Schools,All Students,3,2025,21,21,100.0%,6,15,28.6%,71.4%
Dedham Public Schools,All Schools,All Students,4,2021,14,13,92.9%,0,13,0.0%,100.0%
Dedham Public Schools,All Schools,All Students,4,2022,16,16,100.0%,0,16,0.0%,100.0%
Dedham Public Schools,All Schools,All Students,4,2023,22,22,100.0%,7,15,31.8%,68.2%
Dedham Public Schools,All Schools,All Students,4,2024,14,14,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,4,2025,18,18,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,5,2021,14,14,100.0%,0,14,0.0%,100.0%
Dedham Public Schools,All Schools,All Students,5,2022,12,12,100.0%,0,12,0.0%,100.0%
Dedham Public Schools,All Schools,All Students,5,2023,14,14,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,5,2024,22,22,100.0%,8,14,36.4%,63.6%
Dedham Public Schools,All Schools,All Students,5,2025,14,14,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,6,2021,15,15,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,6,2022,15,14,93.3%,0,14,0.0%,100.0%
Dedham Public Schools,All Schools,All Students,6,2023,14,14,100.0%,0,14,0.0%,100.0%
Dedham Public Schools,All Schools,All Students,6,2024,15,15,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,6,2025,23,23,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,7,2021,26,26,100.0%,0,26,0.0%,100.0%
Dedham Public Schools,All Schools,All Students,7,2022,17,16,94.1%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,7,2023,14,14,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,7,2024,15,15,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,7,2025,18,18,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,8,2021,19,18,94.7%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,8,2022,28,27,96.4%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,8,2023,18,17,94.4%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,All Schools,All Students,8,2024,14,14,100.0%,0,14,0.0%,100.0%
Dedham Public Schools,All Schools,All Students,8,2025,16,16,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,Dedham School,All Students,All Grades,2021,104,102,98.1%,5,97,4.9%,95.1%
Dedham Public Schools,Dedham School,All Students,All Grades,2022,110,106,96.4%,5,101,4.7%,95.3%
Dedham Public Schools,Dedham School,All Students,All Grades,2023,93,92,98.9%,15,77,16.3%,83.7%
Dedham Public Schools,Dedham School,All Students,All Grades,2024,96,96,100.0%,20,76,20.8%,79.2%
Dedham Public Schools,Dedham School,All Students,All Grades,2025,110,110,100.0%,20,90,18.2%,81.8%
Dedham Public Schools,Dedham School,All Students,3,2021,16,16,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,Dedham School,All Students,3,2022,22,21,95.5%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,Dedham School,All Students,3,2023,11,11,100.0%,-1,-1,-1.0%,-1.0%
Dedham Public Schools,Dedham School,All Students,3,2024,16,16,100.0%,5,11,31.3%,68.8%
Dedham Public Schools,Dedham School,All Students,3,2025,21,21,100.0%,6,15,28.6%,71.4%
Dedham Public Schools,Dedham School,All Students,4,2021,14,13,92.9%,0,13,0.0%,100.0%
Dedham Public Schools,Dedham School,All Students,4,2022,16,16,100.0%,0,16,0.0%,100.0%
