district,district_id,school,school_id,year,grade_span,ncesid,school_type,county,address,city
Caswell Public Schools,127,Dawn F Barnes Elementary Sch,128,2019-2020,PK-08,230411000118,Public,Aroostook,1025 Van Buren Road,Caswell
Caswell Public Schools,127,Dawn F Barnes Elementary Sch,128,2018-2019,PR-08,230411000118,Public,Aroostook,1025 Van Buren Rd,Caswell
Caswell Public Schools,127,Dawn F Barnes Elementary Sch,128,2017-2018,PR-08,230411000118,Public,Aroostook,1025 Van Buren Rd,Caswell
Charlotte Public Schools,130,Charlotte Elementary School,131,2023-2024,PK-08,230416000119,Public,Washington,1006 Ayers Junction Road,Charlotte
Charlotte Public Schools,130,Charlotte Elementary School,131,2022-2023,PK-08,230416000119,Public,Washington,1006 Ayers Junction Road,Charlotte
Charlotte Public Schools,130,Charlotte Elementary School,131,2021-2022,PK-08,230416000119,Public,Washington,1006 Ayers Junction Road,Charlotte
Charlotte Public Schools,130,Charlotte Elementary School,131,2020-2021,PK-08,230416000119,Public,Washington,1006 Ayers Junction Road,Charlotte
Charlotte Public Schools,130,Charlotte Elementary School,131,2019-2020,PK-08,230416000119,Public,Washington,1006 Ayers Junction Road,Charlotte
Charlotte Public Schools,130,Charlotte Elementary School,131,2018-2019,PR-08,230416000119,Public,Washington,1006 Ayers Junction Road,Charlotte
Charlotte Public Schools,130,Charlotte Elementary School,131,2017-2018,PR-08,230416000119,Public,Washington,1006 Ayers Junction Road,Charlotte
Chebeague Island Public Schools,1433,Chebeague Island School,842,2024-2025,PK-05,231477100676,Public,Cumberland,14 School House Road,Chebeague Island
Chebeague Island Public Schools,1433,Chebeague Island School,842,2023-2024,PK-05,231477100676,Public,Cumberland,14 School House Road,Chebeague Island
Chebeague Island Public Schools,1433,Chebeague Island School,842,2022-2023,PK-05,231477100676,Public,Cumberland,14 School House Road,Chebeague Island
Chebeague Island Public Schools,1433,Chebeague Island School,842,2021-2022,PK-05,231477100676,Public,Cumberland,14 School House Road,Chebeague Island
Chebeague Island Public Schools,1433,Chebeague Island School,842,2020-2021,PK-05,231477100676,Public,Cumberland,14 School House Road,Chebeague Island
Chebeague Island Public Schools,1433,Chebeague Island School,842,2019-2020,PK-05,231477100676,Public,Cumberland,14 School House Road,Chebeague Island
Chebeague Island Public Schools,1433,Chebeague Island School,842,2018-2019,PK-05,231477100676,Public,Cumberland,14 School House Road,Chebeague Island
Chebeague Island Public Schools,1433,Chebeague Island School,842,2017-2018,PK-05,231477100676,Public,Cumberland,14 School House Road,Chebeague Island
Cherryfield Public Schools,1628,Cherryfield Elementary,755,2024-2025,PK-08,231481400461,Public,Washington,85 School Street,Cherryfield
Cherryfield Public Schools,1628,Cherryfield Elementary,755,2023-2024,PK-08,231481400461,Public,Washington,85 School Street,Cherryfield
Cherryfield Public Schools,1628,Cherryfield Elementary,755,2022-2023,PK-08,231481400461,Public,Washington,85 School Street,Cherryfield
Cherryfield Public Schools,1628,Cherryfield Elementary,755,2021-2022,PK-08,231481400461,Public,Washington,85 School Street,Cherryfield
Cherryfield Public Schools,1628,Cherryfield Elementary,755,2020-2021,PK-08,231481400461,Public,Washington,85 School Street,Cherryfield
Cherryfield Public Schools,1628,Cherryfield Elementary,755,2019-2020,PK-08,231481400461,Public,Washington,85 School Street,Cherryfield
Cherryfield Public Schools,1628,Cherryfield Elementary,755,2018-2019,PR-08,231481400461,Public,Washington,85 School Street,Cherryfield
Cherryfield Public Schools,1628,Cherryfield Elementary,755,2017-2018,PR-08,231481400461,Public,Washington,85 School Street,Cherryfield
Community Regional Charter School,1510,Community Downtown Campus,1828,2020-2021,06-12,231480723164,Charter,Somerset,78 Water Street,Skowhegan
Community Regional Charter School,1510,Community Downtown Campus,1828,2019-2020,06-12,231480723164,Charter,Somerset,78 Water Street,Skowhegan
Community Regional Charter School,1510,Community Downtown Campus,1828,2018-2019,06-12,231480723164,Charter,Somerset,78 Water Street,Skowhegan
Community Regional Charter School,1510,Community Downtown Campus,1828,2017-2018,06-12,231480723164,Charter,Somerset,78 Water Street,Skowhegan
Community Regional Charter School,1510,Community Early Childhood Campus,1829,2020-2021,PK-KG,231480723167,Charter,Somerset,48 South Factory Street,Skowhegan
Community Regional Charter School,1510,Community Early Childhood Campus,1829,2019-2020,PK-KG,231480723167,Charter,Somerset,48 South Factory Street,Skowhegan
Community Regional Charter School,1510,Community Early Childhood Campus,1829,2018-2019,PR-KG,231480723167,Charter,Somerset,48 South Factory Street,Skowhegan
Community Regional Charter School,1510,Community Early Childhood Campus,1829,2017-2018,PR-PR,231480723167,Charter,Somerset,48 South Factory Street,Skowhegan
Community Regional Charter School,1510,Community Regional Charter School,1511,2020-2021,KG-08,231480723136,Charter,Somerset,1192 West Ridge Road,Cornville
Community Regional Charter School,1510,Community Regional Charter School,1511,2019-2020,KG-08,231480723136,Charter,Somerset,1192 West Ridge Road,Cornville
Community Regional Charter School,1510,Community Regional Charter School,1511,2018-2019,KG-08,231480723136,Charter,Somerset,1192 West Ridge Road,Cornville
Community Regional Charter School,1510,Community Regional Charter School,1511,2017-2018,KG-08,231480723136,Charter,Somerset,1192 West Ridge Road,Cornville
Community Regional Charter School,1510,Creative Childrens Academy,1829,2024-2025,PK-KG,231480723167,Charter,Somerset,48 South Factory Street,Skowhegan
Community Regional Charter School,1510,Creative Childrens Academy,1829,2023-2024,PK-KG,231480723167,Charter,Somerset,48 South Factory Street,Skowhegan
Community Regional Charter School,1510,Creative Childrens Academy,1829,2022-2023,PK-KG,231480723167,Charter,Somerset,48 South Factory Street,Skowhegan
Community Regional Charter School,1510,Creative Childrens Academy,1829,2021-2022,PK-KG,231480723167,Charter,Somerset,48 South Factory Street,Skowhegan
Community Regional Charter School,1510,Dimensions Academy,1511,2024-2025,KG-08,231480723136,Charter,Somerset,1192 West Ridge Road,Cornville
Community Regional Charter School,1510,Dimensions Academy,1511,2023-2024,KG-08,231480723136,Charter,Somerset,1192 West Ridge Road,Cornville
Community Regional Charter School,1510,Dimensions Academy,1511,2022-2023,KG-08,231480723136,Charter,Somerset,1192 West Ridge Road,Cornville
Community Regional Charter School,1510,Dimensions Academy,1511,2021-2022,KG-08,231480723136,Charter,Somerset,1192 West Ridge Road,Cornville
Community Regional Charter School,1510,Overman Academy,1828,2024-2025,06-12,231480723164,Charter,Somerset,78 Water Street,Skowhegan
Community Regional Charter School,1510,Overman Academy,1828,2023-2024,06-12,231480723164,Charter,Somerset,78 Water Street,Skowhegan
Community Regional Charter School,1510,Overman Academy,1828,2022-2023,06-12,231480723164,Charter,Somerset,78 Water Street Suite 2,Skowhegan
Community Regional Charter School,1510,Overman Academy,1828,2021-2022,06-12,231480723164,Charter,Somerset,78 Water Street,Skowhegan
Cranberry Isles Public Schools,139,Cranberry Isles School,1758,2024-2025,KG-08,230462023153,Public,Hancock,251 Cranberry Road,Cranberry Isles
Cranberry Isles Public Schools,139,Cranberry Isles School,1758,2023-2024,KG-08,230462023153,Public,Hancock,251 Cranberry Road,Cranberry Isles
Cranberry Isles Public Schools,139,Cranberry Isles School,1758,2022-2023,KG-08,230462023153,Public,Hancock,251 Cranberry Road,Cranberry Isles
Cranberry Isles Public Schools,139,Cranberry Isles School,1758,2021-2022,KG-08,230462023153,Public,Hancock,251 Cranberry Road,Cranberry Isles
Cranberry Isles Public Schools,139,Cranberry Isles School,1758,2020-2021,KG-08,230462023153,Public,Hancock,251 Cranberry Road,Cranberry Isles
Cranberry Isles Public Schools,139,Cranberry Isles School,1758,2019-2020,KG-08,230462023153,Public,Hancock,251 Cranberry Road,Cranberry Isles
Cranberry Isles Public Schools,139,Cranberry Isles School,1758,2018-2019,KG-08,230462023153,Public,Hancock,251 Cranberry Road,Cranberry Isles
Cranberry Isles Public Schools,139,Cranberry Isles School,1758,2017-2018,KG-08,230462023153,Public,Hancock,251 Cranberry Road,Cranberry Isles
Cutler Public Schools,1411,Bay Ridge Elementary,997,2024-2025,PK-08,230006501020,Public,Washington,2066 Cutler Rd,Cutler
Cutler Public Schools,1411,Bay Ridge Elementary,997,2023-2024,PK-08,230006501020,Public,Washington,2066 Cutler Rd,Cutler
Cutler Public Schools,1411,Bay Ridge Elementary,997,2022-2023,PK-08,230006501020,Public,Washington,2066 Cutler Rd,Cutler
Cutler Public Schools,1411,Bay Ridge Elementary,997,2021-2022,PK-08,230006501020,Public,Washington,2066 Cutler Rd,Cutler
Cutler Public Schools,1411,Bay Ridge Elementary,997,2020-2021,PK-08,230006501020,Public,Washington,2066 Cutler Rd,Cutler
Cutler Public Schools,1411,Bay Ridge Elementary,997,2019-2020,PK-08,230006501020,Public,Washington,2066 Cutler Rd,Cutler
Cutler Public Schools,1411,Bay Ridge Elementary,997,2018-2019,PR-08,230006501020,Public,Washington,2066 Cutler Rd,Cutler
Cutler Public Schools,1411,Bay Ridge Elementary,997,2017-2018,PR-08,230006501020,Public,Washington,2066 Cutler Rd,Cutler
Dayton Public Schools,1661,Dayton Consolidated School,146,2024-2025,PK-05,230486000124,Public,York,21 Clarks Mills Road,Dayton
Dayton Public Schools,1661,Dayton Consolidated School,146,2023-2024,PK-05,230486000124,Public,York,21 Clarks Mills Road,Dayton
Dayton Public Schools,1661,Dayton Consolidated School,146,2022-2023,PK-05,230486000124,Public,York,21 Clarks Mills Road,Dayton
Dayton Public Schools,1661,Dayton Consolidated School,146,2021-2022,PK-05,230486000124,Public,York,21 Clarks Mills Road,Dayton
Dayton Public Schools,1661,Dayton Consolidated School,146,2020-2021,PK-05,230486000124,Public,York,21 Clarks Mills Road,Dayton
Dayton Public Schools,1661,Dayton Consolidated School,146,2019-2020,PK-05,230486000124,Public,York,21 Clarks Mills Road,Dayton
Dayton Public Schools,1661,Dayton Consolidated School,146,2018-2019,PK-05,230486000124,Public,York,21 Clarks Mills Road,Dayton
Dayton Public Schools,1661,Dayton Consolidated School,146,2017-2018,PK-05,230486000124,Public,York,21 Clarks Mills Road,Dayton
Dedham Public Schools,148,Dedham School,149,2024-2025,PK-08,230489000125,Public,Hancock,2065 Main Road,Dedham
Dedham Public Schools,148,Dedham School,149,2023-2024,PK-08,230489000125,Public,Hancock,2065 Main Road,Dedham
Dedham Public Schools,148,Dedham School,149,2022-2023,PK-08,230489000125,Public,Hancock,2065 Main Road,Dedham
Dedham Public Schools,148,Dedham School,149,2021-2022,PK-08,230489000125,Public,Hancock,2065 Main Road,Dedham
Dedham Public Schools,148,Dedham School,149,2020-2021,PK-08,230489000125,Public,Hancock,2065 Main Road,Dedham
Dedham Public Schools,148,Dedham School,149,2019-2020,PK-08,230489000125,Public,Hancock,2065 Main Road,Dedham
Dedham Public Schools,148,Dedham School,149,2018-2019,PR-08,230489000125,Public,Hancock,19 School Street,Dedham
Dedham Public Schools,148,Dedham School,149,2017-2018,PR-08,230489000125,Public,Hancock,2065 Main Road,Dedham
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2024-2025,PK-08,230489500509,Public,Hancock,249 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2023-2024,KG-08,230489500509,Public,Hancock,249 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2022-2023,KG-07,230489500509,Public,Hancock,249 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2021-2022,KG-07,230489500509,Public,Hancock,249 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2020-2021,KG-07,230489500509,Public,Hancock,249 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2019-2020,KG-08,230489500509,Public,Hancock,249 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2018-2019,KG-08,230489500509,Public,Hancock,249 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2017-2018,KG-08,230489500509,Public,Hancock,249 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2024-2025,09-12,230489500127,Public,Hancock,251 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2023-2024,09-12,230489500127,Public,Hancock,251 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2022-2023,08-12,230489500127,Public,Hancock,251 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2021-2022,08-12,230489500127,Public,Hancock,251 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2020-2021,08-12,230489500127,Public,Hancock,251 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2019-2020,09-12,230489500127,Public,Hancock,251 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2018-2019,09-12,230489500127,Public,Hancock,251 North Deer Isle RD,Deer Isle
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2017-2018,09-12,230489500127,Public,Hancock,251 North Deer Isle RD,Deer Isle
East Machias Public Schools,1400,Elm Street School-East Machias,999,2024-2025,PK-08,230006200560,Public,Washington,38 Jacksonville Road,East Machias
East Machias Public Schools,1400,Elm Street School-East Machias,999,2023-2024,PK-08,230006200560,Public,Washington,38 Jacksonville Road,East Machias
East Machias Public Schools,1400,Elm Street School-East Machias,999,2022-2023,PK-08,230006200560,Public,Washington,38 Jacksonville Road,East Machias
East Machias Public Schools,1400,Elm Street School-East Machias,999,2021-2022,PK-08,230006200560,Public,Washington,38 Jacksonville Road,East Machias
East Machias Public Schools,1400,Elm Street School-East Machias,999,2020-2021,PK-08,230006200560,Public,Washington,38 Jacksonville Road,East Machias
East Machias Public Schools,1400,Elm Street School-East Machias,999,2019-2020,PK-08,230006200560,Public,Washington,38 Jacksonville Road,East Machias
East Machias Public Schools,1400,Elm Street School-East Machias,999,2018-2019,PR-08,230006200560,Public,Washington,38 Jacksonville Road,East Machias
East Machias Public Schools,1400,Elm Street School-East Machias,999,2017-2018,PR-08,230006200560,Public,Washington,38 Jacksonville Road,East Machias
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2024-2025,PK-04,230528000133,Public,Penobscot,45 North St,East Millinocket
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2023-2024,PK-04,230528000133,Public,Penobscot,45 North St,East Millinocket
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2022-2023,PK-04,230528000133,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2021-2022,PK-04,230528000133,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2020-2021,PK-04,230528000133,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2019-2020,PK-04,230528000133,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2018-2019,PR-04,230528000133,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2017-2018,PR-04,230528000133,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Schenck High School,159,2024-2025,09-12,230528000134,Public,Penobscot,45 North St,East Millinocket
East Millinocket Public Schools,157,Schenck High School,159,2023-2024,09-12,230528000134,Public,Penobscot,45 North St,East Millinocket
East Millinocket Public Schools,157,Schenck High School,159,2022-2023,09-12,230528000134,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Schenck High School,159,2021-2022,09-12,230528000134,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Schenck High School,159,2020-2021,09-12,230528000134,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Schenck High School,159,2019-2020,09-12,230528000134,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Schenck High School,159,2018-2019,09-12,230528000134,Public,Penobscot,45 North Street,East Millinocket
East Millinocket Public Schools,157,Schenck High School,159,2017-2018,09-12,230528000134,Public,Penobscot,45 North Street,East Millinocket
East Range CSD,1047,East Range II CSD School,1048,2024-2025,PK-08,230538000139,Public,Washington,187 School St,Topsfield
East Range CSD,1047,East Range II CSD School,1048,2023-2024,PK-08,230538000139,Public,Washington,187 School St,Topsfield
East Range CSD,1047,East Range II CSD School,1048,2022-2023,PK-08,230538000139,Public,Washington,187 School St,Topsfield
East Range CSD,1047,East Range II CSD School,1048,2021-2022,KG-08,230538000139,Public,Washington,187 School St,Topsfield
East Range CSD,1047,East Range II CSD School,1048,2020-2021,PK-08,230538000139,Public,Washington,187 School St,Topsfield
East Range CSD,1047,East Range II CSD School,1048,2019-2020,PK-08,230538000139,Public,Washington,187 School Street,Topsfield
East Range CSD,1047,East Range II CSD School,1048,2018-2019,PR-08,230538000139,Public,Washington,187 School Street,Topsfield
East Range CSD,1047,East Range II CSD School,1048,2017-2018,KG-08,230538000139,Public,Washington,187 School Street,Topsfield
Easton Public Schools,160,Easton Elementary School,162,2024-2025,PK-06,230531000135,Public,Aroostook,33 Bangor Road,Easton
Easton Public Schools,160,Easton Elementary School,162,2023-2024,PK-06,230531000135,Public,Aroostook,33 Bangor Road,Easton
Easton Public Schools,160,Easton Elementary School,162,2022-2023,PK-06,230531000135,Public,Aroostook,33 Bangor Road,Easton
Easton Public Schools,160,Easton Elementary School,162,2021-2022,PK-06,230531000135,Public,Aroostook,33 Bangor Road,Easton
Easton Public Schools,160,Easton Elementary School,162,2020-2021,PK-06,230531000135,Public,Aroostook,33 Bangor Road,Easton
Easton Public Schools,160,Easton Elementary School,162,2019-2020,PK-06,230531000135,Public,Aroostook,33 Bangor Road,Easton
Easton Public Schools,160,Easton Elementary School,162,2018-2019,PR-06,230531000135,Public,Aroostook,33 Bangor Road,Easton
Easton Public Schools,160,Easton Elementary School,162,2017-2018,PR-06,230531000135,Public,Aroostook,33 Bangor Road,Easton
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2024-2025,07-12,230531000136,Public,Aroostook,173 Center Road,Easton
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2023-2024,07-12,230531000136,Public,Aroostook,173 Center Road,Easton
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2022-2023,07-12,230531000136,Public,Aroostook,173 Center Road,Easton
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2021-2022,07-12,230531000136,Public,Aroostook,173 Center Road,Easton
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2020-2021,07-12,230531000136,Public,Aroostook,333 Boone Road,Easton
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2019-2020,07-12,230531000136,Public,Aroostook,173 Center Road,Easton
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2018-2019,07-12,230531000136,Public,Aroostook,173 Center Road,Easton
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2017-2018,07-12,230531000136,Public,Aroostook,173 Center Road,Easton
Eastport Public Schools,163,Eastport Elementary School,164,2024-2025,PK-08,230536000912,Public,Washington,100 High Street,Eastport
Eastport Public Schools,163,Eastport Elementary School,164,2023-2024,PK-08,230536000912,Public,Washington,100 High Street,Eastport
Eastport Public Schools,163,Eastport Elementary School,164,2022-2023,PK-08,230536000912,Public,Washington,100 High Street,Eastport
Eastport Public Schools,163,Eastport Elementary School,164,2021-2022,PK-08,230536000912,Public,Washington,100 High Street,Eastport
Eastport Public Schools,163,Eastport Elementary School,164,2020-2021,PK-08,230536000912,Public,Washington,100 High Street,Eastport
Eastport Public Schools,163,Eastport Elementary School,164,2019-2020,PK-08,230536000912,Public,Washington,100 High Street,Eastport
Eastport Public Schools,163,Eastport Elementary School,164,2018-2019,PR-08,230536000912,Public,Washington,100 High Street,Eastport
Eastport Public Schools,163,Eastport Elementary School,164,2017-2018,PR-08,230536000912,Public,Washington,100 High Street,Eastport
Eastport Public Schools,163,Shead High School,165,2024-2025,09-12,230536000138,Public,Washington,89 High Street,Eastport
Eastport Public Schools,163,Shead High School,165,2023-2024,09-12,230536000138,Public,Washington,89 High Street,Eastport
Eastport Public Schools,163,Shead High School,165,2022-2023,09-12,230536000138,Public,Washington,89 High Street,Eastport
Eastport Public Schools,163,Shead High School,165,2021-2022,09-12,230536000138,Public,Washington,89 High Street,Eastport
Eastport Public Schools,163,Shead High School,165,2020-2021,09-12,230536000138,Public,Washington,89 High Street,Eastport
Eastport Public Schools,163,Shead High School,165,2019-2020,09-12,230536000138,Public,Washington,89 High Street,Eastport
Eastport Public Schools,163,Shead High School,165,2018-2019,09-12,230536000138,Public,Washington,89 High Street,Eastport
Eastport Public Schools,163,Shead High School,165,2017-2018,09-12,230536000138,Public,Washington,89 High Street,Eastport
Ecology Learning Center,2071,Ecology Learning Ctr,2072,2024-2025,09-12,231484123186,Charter,Waldo,230 Main Street,Unity
Ecology Learning Center,2071,Ecology Learning Ctr,2072,2023-2024,09-12,231484123186,Charter,Waldo,230 Main Street,Unity
Ecology Learning Center,2071,Ecology Learning Ctr,2072,2022-2023,09-12,231484123186,Charter,Waldo,230 Main Street,Unity
Ecology Learning Center,2071,Ecology Learning Ctr,2072,2021-2022,09-12,231484123186,Charter,Waldo,230 Main Street,Unity
Ecology Learning Center,2071,Ecology Learning Ctr,2072,2020-2021,09-12,231484123186,Charter,Waldo,230 Main Street,Unity
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2024-2025,PK-06,230540000140,Public,Lincoln,157 Boothbay Road,Edgecomb
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2023-2024,PK-06,230540000140,Public,Lincoln,51 Emery Drive,Edgecomb
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2022-2023,PK-06,230540000140,Public,Lincoln,51 Emery Drive,Edgecomb
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2021-2022,PK-06,230540000140,Public,Lincoln,51 Emery Drive,Edgecomb
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2020-2021,PK-06,230540000140,Public,Lincoln,51 Emery Drive,Edgecomb
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2019-2020,PK-06,230540000140,Public,Lincoln,51 Emery Drive,Edgecomb
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2018-2019,PR-06,230540000140,Public,Lincoln,51 Emery Drive,Edgecomb
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2017-2018,PR-06,230540000140,Public,Lincoln,157 Boothbay Road,Edgecomb
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2024-2025,PK-06,231210000958,Unorganized Territory,Aroostook,1581 Van Buren RD,Connor Twp
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2023-2024,PK-06,231210000958,Unorganized Territory,Aroostook,1581 Van Buren RD,Connor Twp
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2022-2023,PK-06,231210000958,Unorganized Territory,Aroostook,1581 Van Buren RD,Connor Twp
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2021-2022,PK-06,231210000958,Unorganized Territory,Aroostook,1581 Van Buren RD,Connor Twp
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2020-2021,PK-06,231210000958,Unorganized Territory,Aroostook,1581 Van Buren RD,Connor Twp
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2019-2020,PK-06,231210000958,Unorganized Territory,Aroostook,1581 Van Buren RD,Connor Twp
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2018-2019,PR-06,231210000958,Unorganized Territory,Aroostook,1581 Van Buren RD,Connor Twp
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2017-2018,PR-06,231210000958,Unorganized Territory,Aroostook,1581 Van Buren RD,Connor Twp
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2024-2025,PK-08,231210000959,Unorganized Territory,Washington,21 Harrison RD,Edmunds Township
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2023-2024,PK-08,231210000959,Unorganized Territory,Washington,21 Harrison RD,Edmunds Township
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2022-2023,PK-08,231210000959,Unorganized Territory,Washington,21 Harrison RD,Edmunds Township
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2021-2022,PK-08,231210000959,Unorganized Territory,Washington,21 Harrison RD,Edmunds Township
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2020-2021,PK-08,231210000959,Unorganized Territory,Washington,21 Harrison RD,Edmunds Township
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2019-2020,PK-08,231210000959,Unorganized Territory,Washington,21 Harrison RD,Edmunds Township
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2018-2019,PR-08,231210000959,Unorganized Territory,Washington,21 Harrison RD,Edmunds Township
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2017-2018,PR-08,231210000959,Unorganized Territory,Washington,21 Harrison RD,Edmunds Township
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2024-2025,PK-06,231210000960,Unorganized Territory,Penobscot,25 Park ST,Kingman
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2023-2024,PK-06,231210000960,Unorganized Territory,Penobscot,25 Park ST,Kingman
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2022-2023,PK-06,231210000960,Unorganized Territory,Penobscot,25 Park ST,Kingman
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2021-2022,PK-05,231210000960,Unorganized Territory,Penobscot,25 Park ST,Kingman
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2020-2021,PK-05,231210000960,Unorganized Territory,Penobscot,25 Park ST,Kingman
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2019-2020,PK-05,231210000960,Unorganized Territory,Penobscot,25 Park ST,Kingman
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2018-2019,PR-05,231210000960,Unorganized Territory,Penobscot,25 Park ST,Kingman
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2017-2018,PR-05,231210000960,Unorganized Territory,Penobscot,25 Park ST,Kingman
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2024-2025,PK-08,230550023117,Public,Hancock,20 Forrest Avenue,Ellsworth
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2023-2024,KG-08,230550023117,Public,Hancock,20 Forrest Avenue,Ellsworth
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2022-2023,PK-08,230550023117,Public,Hancock,20 Forrest Avenue,Ellsworth
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2021-2022,PK-08,230550023117,Public,Hancock,20 Forrest Avenue,Ellsworth
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2020-2021,PK-08,230550023117,Public,Hancock,20 Forrest Avenue,Ellsworth
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2019-2020,PK-08,230550023117,Public,Hancock,20 Forrest Avenue,Ellsworth
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2018-2019,PR-08,230550023117,Public,Hancock,20 Forrest Avenue,Ellsworth
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2017-2018,PR-08,230550023117,Public,Hancock,20 Forrest Avenue,Ellsworth
Ellsworth Public Schools,1663,Ellsworth High School,172,2024-2025,09-12,230550000270,Public,Hancock,24 Lejok Street,Ellsworth
Ellsworth Public Schools,1663,Ellsworth High School,172,2023-2024,09-12,230550000270,Public,Hancock,24 Lejok Street,Ellsworth
