district,district_id,school,school_id,year,grade_span,ncesid,school_type,county,address,city
Appleton Public Schools,9,Appleton Village School,10,2018-2019,KG-08,230251000906,Public,Knox,444 Camden Road,Appleton
Appleton Public Schools,9,Appleton Village School,10,2017-2018,KG-08,230251000906,Public,Knox,737 Union Road,Appleton
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2024-2025,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2023-2024,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2022-2023,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2021-2022,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2020-2021,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2019-2020,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2018-2019,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Arthur R. Gould Sch--LCYDC,1069,Arthur R. Gould Sch--LCYDC,1070,2017-2018,07-12,230005000377,State Operated,Cumberland,675 Westbrook Street,South Portland
Athens Public Schools,1629,Athens Community School,906,2024-2025,PK-08,231481700742,Public,Somerset,8 Fox Hill Road,Athens
Athens Public Schools,1629,Athens Community School,906,2023-2024,PK-08,231481700742,Public,Somerset,8 Fox Hill Road,Athens
Athens Public Schools,1629,Athens Community School,906,2022-2023,PK-08,231481700742,Public,Somerset,8 Fox Hill Road,Athens
Athens Public Schools,1629,Athens Community School,906,2021-2022,PK-08,231481700742,Public,Somerset,8 Fox Hill Road,Athens
Athens Public Schools,1629,Athens Community School,906,2020-2021,PK-08,231481700742,Public,Somerset,8 Fox Hill Road,Athens
Athens Public Schools,1629,Athens Community School,906,2019-2020,PK-08,231481700742,Public,Somerset,8 Fox Hill Road,Athens
Athens Public Schools,1629,Athens Community School,906,2018-2019,PR-08,231481700742,Public,Somerset,8 Fox Hill Road,Athens
Athens Public Schools,1629,Athens Community School,906,2017-2018,PR-08,231481700742,Public,Somerset,8 Fox Hill Road,Athens
Auburn Public Schools,14,Auburn Middle School,25,2024-2025,07-08,230261000907,Public,Androscoggin,38 Falcon Drive,Auburn
Auburn Public Schools,14,Auburn Middle School,25,2023-2024,07-08,230261000907,Public,Androscoggin,38 Falcon Drive,Auburn
Auburn Public Schools,14,Auburn Middle School,25,2022-2023,07-08,230261000907,Public,Androscoggin,38 Falcon Drive,Auburn
Auburn Public Schools,14,Auburn Middle School,25,2021-2022,07-08,230261000907,Public,Androscoggin,38 Falcon Drive,Auburn
Auburn Public Schools,14,Auburn Middle School,25,2020-2021,07-08,230261000907,Public,Androscoggin,38 Falcon Drive,Auburn
Auburn Public Schools,14,Auburn Middle School,25,2019-2020,07-08,230261000907,Public,Androscoggin,38 Falcon Drive,Auburn
Auburn Public Schools,14,Auburn Middle School,25,2018-2019,07-08,230261000907,Public,Androscoggin,38 Falcon Drive,Auburn
Auburn Public Schools,14,Auburn Middle School,25,2017-2018,07-08,230261000907,Public,Androscoggin,38 Falcon Drive,Auburn
Auburn Public Schools,14,East Auburn Community School,15,2024-2025,PK-06,230261000012,Public,Androscoggin,15 Andrew Drive,Auburn
Auburn Public Schools,14,East Auburn Community School,15,2023-2024,PK-06,230261000012,Public,Androscoggin,15 Andrew Drive,Auburn
Auburn Public Schools,14,East Auburn Community School,15,2022-2023,PK-06,230261000012,Public,Androscoggin,15 Andrew Drive,Auburn
Auburn Public Schools,14,East Auburn Community School,15,2021-2022,PK-06,230261000012,Public,Androscoggin,15 Andrew Drive,Auburn
Auburn Public Schools,14,East Auburn Community School,15,2020-2021,PK-06,230261000012,Public,Androscoggin,15 Andrew Drive,Auburn
Auburn Public Schools,14,East Auburn Community School,15,2019-2020,PK-06,230261000012,Public,Androscoggin,15 Andrew Drive,Auburn
Auburn Public Schools,14,East Auburn Community School,15,2018-2019,PR-06,230261000012,Public,Androscoggin,15 Andrew Drive,Auburn
Auburn Public Schools,14,East Auburn Community School,15,2017-2018,PR-06,230261000012,Public,Androscoggin,15 Andrew Drive,Auburn
Auburn Public Schools,14,Edward Little High School,23,2024-2025,09-12,230261000013,Public,Androscoggin,77 Harris Street,Auburn
Auburn Public Schools,14,Edward Little High School,23,2023-2024,09-12,230261000013,Public,Androscoggin,77 Harris Street,Auburn
Auburn Public Schools,14,Edward Little High School,23,2022-2023,09-12,230261000013,Public,Androscoggin,77 Harris Street,Auburn
Auburn Public Schools,14,Edward Little High School,23,2021-2022,09-12,230261000013,Public,Androscoggin,77 Harris Street,Auburn
Auburn Public Schools,14,Edward Little High School,23,2020-2021,09-12,230261000013,Public,Androscoggin,77 Harris Street,Auburn
Auburn Public Schools,14,Edward Little High School,23,2019-2020,09-12,230261000013,Public,Androscoggin,77 Harris Street,Auburn
Auburn Public Schools,14,Edward Little High School,23,2018-2019,09-12,230261000013,Public,Androscoggin,77 Harris Street,Auburn
Auburn Public Schools,14,Edward Little High School,23,2017-2018,09-12,230261000013,Public,Androscoggin,77 Harris Street,Auburn
Auburn Public Schools,14,Fairview School,16,2024-2025,PK-06,230261000014,Public,Androscoggin,397 Minot Avenue,Auburn
Auburn Public Schools,14,Fairview School,16,2023-2024,PK-06,230261000014,Public,Androscoggin,397 Minot Avenue,Auburn
Auburn Public Schools,14,Fairview School,16,2022-2023,PK-06,230261000014,Public,Androscoggin,397 Minot Avenue,Auburn
Auburn Public Schools,14,Fairview School,16,2021-2022,PK-06,230261000014,Public,Androscoggin,397 Minot Avenue,Auburn
Auburn Public Schools,14,Fairview School,16,2020-2021,PK-06,230261000014,Public,Androscoggin,397 Minot Avenue,Auburn
Auburn Public Schools,14,Fairview School,16,2019-2020,PK-06,230261000014,Public,Androscoggin,397 Minot Avenue,Auburn
Auburn Public Schools,14,Fairview School,16,2018-2019,PR-06,230261000014,Public,Androscoggin,397 Minot Avenue,Auburn
Auburn Public Schools,14,Fairview School,16,2017-2018,PR-06,230261000014,Public,Androscoggin,397 Minot Avenue,Auburn
Auburn Public Schools,14,Park Avenue Elementary School,27,2024-2025,PK-06,230261000626,Public,Androscoggin,161 Park Avenue,Auburn
Auburn Public Schools,14,Park Avenue Elementary School,27,2023-2024,PK-06,230261000626,Public,Androscoggin,161 Park Avenue,Auburn
