district,district_id,school_name,school_id,year,number
Deer Isle-Stonington CSD,1049,All Schools,  ,2020-2021,0
Deer Isle-Stonington CSD,1049,All Schools,  ,2018-2019,0
Deer Isle-Stonington CSD,1049,All Schools,  ,2017-2018,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2023-2024,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2022-2023,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2021-2022,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2020-2021,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2018-2019,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington Elementary Sch,1052,2017-2018,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2023-2024,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2022-2023,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2021-2022,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2020-2021,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2018-2019,0
Deer Isle-Stonington CSD,1049,Deer Isle-Stonington High Sch,1051,2017-2018,0
Dennistown Plt Public Schools,150,All Schools,  ,2023-2024,0
Dennistown Plt Public Schools,150,All Schools,  ,2022-2023,0
Dennistown Plt Public Schools,150,All Schools,  ,2021-2022,0
Dennistown Plt Public Schools,150,All Schools,  ,2020-2021,0
Dennistown Plt Public Schools,150,All Schools,  ,2018-2019,0
Dennistown Plt Public Schools,150,All Schools,  ,2017-2018,0
Dennysville Public Schools,151,All Schools,  ,2023-2024,0
Dennysville Public Schools,151,All Schools,  ,2022-2023,0
Dennysville Public Schools,151,All Schools,  ,2021-2022,0
Dennysville Public Schools,151,All Schools,  ,2020-2021,0
Dennysville Public Schools,151,All Schools,  ,2018-2019,0
Dennysville Public Schools,151,All Schools,  ,2017-2018,0
Drew Plt Public Schools,154,All Schools,  ,2022-2023,0
Drew Plt Public Schools,154,All Schools,  ,2021-2022,0
Drew Plt Public Schools,154,All Schools,  ,2020-2021,0
Drew Plt Public Schools,154,All Schools,  ,2018-2019,0
Drew Plt Public Schools,154,All Schools,  ,2017-2018,0
Eagle Lake Public Schools,1998,All Schools,  ,2023-2024,0
Eagle Lake Public Schools,1998,All Schools,  ,2022-2023,0
Eagle Lake Public Schools,1998,All Schools,  ,2021-2022,0
Eagle Lake Public Schools,1998,All Schools,  ,2020-2021,0
Eagle Lake Public Schools,1998,All Schools,  ,2018-2019,0
East Machias Public Schools,1400,All Schools,  ,2023-2024,0
East Machias Public Schools,1400,All Schools,  ,2022-2023,0
East Machias Public Schools,1400,All Schools,  ,2021-2022,0
East Machias Public Schools,1400,All Schools,  ,2020-2021,0
East Machias Public Schools,1400,All Schools,  ,2018-2019,0
East Machias Public Schools,1400,All Schools,  ,2017-2018,0
East Machias Public Schools,1400,Elm Street School-East Machias,999,2023-2024,0
East Machias Public Schools,1400,Elm Street School-East Machias,999,2022-2023,0
East Machias Public Schools,1400,Elm Street School-East Machias,999,2021-2022,0
East Machias Public Schools,1400,Elm Street School-East Machias,999,2020-2021,0
East Machias Public Schools,1400,Elm Street School-East Machias,999,2018-2019,0
East Machias Public Schools,1400,Elm Street School-East Machias,999,2017-2018,0
East Millinocket Public Schools,157,All Schools,  ,2023-2024,0
East Millinocket Public Schools,157,All Schools,  ,2022-2023,0
East Millinocket Public Schools,157,All Schools,  ,2021-2022,0
East Millinocket Public Schools,157,All Schools,  ,2020-2021,0
East Millinocket Public Schools,157,All Schools,  ,2018-2019,0
East Millinocket Public Schools,157,All Schools,  ,2017-2018,0
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2023-2024,0
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2022-2023,0
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2021-2022,0
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2020-2021,0
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2018-2019,0
East Millinocket Public Schools,157,Opal Myrick Elementary School,158,2017-2018,0
East Millinocket Public Schools,157,Schenck High School,159,2023-2024,0
East Millinocket Public Schools,157,Schenck High School,159,2022-2023,0
East Millinocket Public Schools,157,Schenck High School,159,2021-2022,0
East Millinocket Public Schools,157,Schenck High School,159,2020-2021,0
East Millinocket Public Schools,157,Schenck High School,159,2018-2019,0
East Millinocket Public Schools,157,Schenck High School,159,2017-2018,0
East Range CSD,1047,All Schools,  ,2023-2024,0
East Range CSD,1047,All Schools,  ,2022-2023,0
East Range CSD,1047,All Schools,  ,2021-2022,0
East Range CSD,1047,All Schools,  ,2020-2021,0
East Range CSD,1047,All Schools,  ,2018-2019,0
East Range CSD,1047,All Schools,  ,2017-2018,0
East Range CSD,1047,East Range II CSD School,1048,2023-2024,0
East Range CSD,1047,East Range II CSD School,1048,2022-2023,0
East Range CSD,1047,East Range II CSD School,1048,2021-2022,0
East Range CSD,1047,East Range II CSD School,1048,2020-2021,0
East Range CSD,1047,East Range II CSD School,1048,2018-2019,0
East Range CSD,1047,East Range II CSD School,1048,2017-2018,0
Easton Public Schools,160,All Schools,  ,2023-2024,0
Easton Public Schools,160,All Schools,  ,2022-2023,0
Easton Public Schools,160,All Schools,  ,2021-2022,0
Easton Public Schools,160,All Schools,  ,2020-2021,0
Easton Public Schools,160,All Schools,  ,2018-2019,0
Easton Public Schools,160,All Schools,  ,2017-2018,0
Easton Public Schools,160,Easton Elementary School,162,2023-2024,0
Easton Public Schools,160,Easton Elementary School,162,2022-2023,0
Easton Public Schools,160,Easton Elementary School,162,2021-2022,0
Easton Public Schools,160,Easton Elementary School,162,2020-2021,0
Easton Public Schools,160,Easton Elementary School,162,2019-2020,0
Easton Public Schools,160,Easton Elementary School,162,2018-2019,0
Easton Public Schools,160,Easton Elementary School,162,2017-2018,0
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2023-2024,0
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2022-2023,0
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2021-2022,0
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2020-2021,0
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2019-2020,0
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2018-2019,0
Easton Public Schools,160,Easton Junior-Senior High Sch,161,2017-2018,0
Eastport Public Schools,163,All Schools,  ,2023-2024,0
Eastport Public Schools,163,All Schools,  ,2022-2023,0
Eastport Public Schools,163,All Schools,  ,2021-2022,0
Eastport Public Schools,163,All Schools,  ,2020-2021,0
Eastport Public Schools,163,All Schools,  ,2018-2019,0
Eastport Public Schools,163,All Schools,  ,2017-2018,0
Eastport Public Schools,163,Eastport Elementary School,164,2023-2024,0
Eastport Public Schools,163,Eastport Elementary School,164,2022-2023,0
Eastport Public Schools,163,Eastport Elementary School,164,2021-2022,0
Eastport Public Schools,163,Eastport Elementary School,164,2020-2021,0
Eastport Public Schools,163,Eastport Elementary School,164,2018-2019,0
Eastport Public Schools,163,Eastport Elementary School,164,2017-2018,0
Eastport Public Schools,163,Shead High School,165,2023-2024,0
Eastport Public Schools,163,Shead High School,165,2022-2023,0
Eastport Public Schools,163,Shead High School,165,2021-2022,0
Eastport Public Schools,163,Shead High School,165,2020-2021,0
Eastport Public Schools,163,Shead High School,165,2019-2020,0
Eastport Public Schools,163,Shead High School,165,2018-2019,0
Eastport Public Schools,163,Shead High School,165,2017-2018,0
Ecology Learning Center,2071,All Schools,  ,2023-2024,0
Ecology Learning Center,2071,All Schools,  ,2022-2023,0
Ecology Learning Center,2071,All Schools,  ,2021-2022,0
Ecology Learning Center,2071,All Schools,  ,2020-2021,0
Ecology Learning Center,2071,Ecology Learning Ctr,2072,2023-2024,0
Ecology Learning Center,2071,Ecology Learning Ctr,2072,2022-2023,0
Ecology Learning Center,2071,Ecology Learning Ctr,2072,2021-2022,0
Ecology Learning Center,2071,Ecology Learning Ctr,2072,2020-2021,0
Edgecomb Public Schools,166,All Schools,  ,2023-2024,0
Edgecomb Public Schools,166,All Schools,  ,2022-2023,0
Edgecomb Public Schools,166,All Schools,  ,2021-2022,0
Edgecomb Public Schools,166,All Schools,  ,2020-2021,0
Edgecomb Public Schools,166,All Schools,  ,2018-2019,0
Edgecomb Public Schools,166,All Schools,  ,2017-2018,0
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2023-2024,0
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2022-2023,0
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2021-2022,0
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2020-2021,0
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2018-2019,0
Edgecomb Public Schools,166,Edgecomb Eddy School,167,2017-2018,0
Education in Unorganized Terr,1002,All Schools,  ,2023-2024,0
Education in Unorganized Terr,1002,All Schools,  ,2022-2023,0
Education in Unorganized Terr,1002,All Schools,  ,2021-2022,0
Education in Unorganized Terr,1002,All Schools,  ,2020-2021,0
Education in Unorganized Terr,1002,All Schools,  ,2019-2020,0
Education in Unorganized Terr,1002,All Schools,  ,2018-2019,0
Education in Unorganized Terr,1002,All Schools,  ,2017-2018,0
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2023-2024,0
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2022-2023,0
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2021-2022,0
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2020-2021,0
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2019-2020,0
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2018-2019,0
Education in Unorganized Terr,1002,Connor Consolidated School,1003,2017-2018,0
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2023-2024,0
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2022-2023,0
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2021-2022,0
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2020-2021,0
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2018-2019,0
Education in Unorganized Terr,1002,Edmunds Consolidated School,1004,2017-2018,0
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2023-2024,0
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2022-2023,0
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2021-2022,0
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2020-2021,0
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2018-2019,0
Education in Unorganized Terr,1002,Kingman Elementary School,1005,2017-2018,0
Ellsworth Public Schools,1663,All Schools,  ,2023-2024,0
Ellsworth Public Schools,1663,All Schools,  ,2022-2023,1
Ellsworth Public Schools,1663,All Schools,  ,2021-2022,0
Ellsworth Public Schools,1663,All Schools,  ,2020-2021,0
Ellsworth Public Schools,1663,All Schools,  ,2018-2019,0
Ellsworth Public Schools,1663,All Schools,  ,2017-2018,2
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2023-2024,0
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2022-2023,1
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2021-2022,0
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2020-2021,0
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2018-2019,0
Ellsworth Public Schools,1663,Ellsworth Elementary-Middle School,1463,2017-2018,2
Ellsworth Public Schools,1663,Ellsworth High School,172,2023-2024,0
Ellsworth Public Schools,1663,Ellsworth High School,172,2022-2023,0
Ellsworth Public Schools,1663,Ellsworth High School,172,2021-2022,0
Ellsworth Public Schools,1663,Ellsworth High School,172,2020-2021,0
Ellsworth Public Schools,1663,Ellsworth High School,172,2019-2020,0
Ellsworth Public Schools,1663,Ellsworth High School,172,2018-2019,0
Ellsworth Public Schools,1663,Ellsworth High School,172,2017-2018,0
Erskine Academy,1148,All Schools,  ,2018-2019,0
Erskine Academy,1148,All Schools,  ,2017-2018,0
Erskine Academy,1148,Erskine Academy,1149,2023-2024,0
Erskine Academy,1148,Erskine Academy,1149,2022-2023,0
Erskine Academy,1148,Erskine Academy,1149,2021-2022,0
Erskine Academy,1148,Erskine Academy,1149,2020-2021,0
Erskine Academy,1148,Erskine Academy,1149,2019-2020,0
Erskine Academy,1148,Erskine Academy,1149,2018-2019,0
Erskine Academy,1148,Erskine Academy,1149,2017-2018,0
Eustis Public Schools,1627,All Schools,  ,2023-2024,0
Eustis Public Schools,1627,All Schools,  ,2022-2023,0
Eustis Public Schools,1627,All Schools,  ,2021-2022,0
Eustis Public Schools,1627,All Schools,  ,2020-2021,0
Eustis Public Schools,1627,All Schools,  ,2019-2020,0
Eustis Public Schools,1627,All Schools,  ,2018-2019,0
Eustis Public Schools,1627,All Schools,  ,2017-2018,0
Eustis Public Schools,1627,Stratton Elementary School,899,2023-2024,0
Eustis Public Schools,1627,Stratton Elementary School,899,2022-2023,0
Eustis Public Schools,1627,Stratton Elementary School,899,2021-2022,0
Eustis Public Schools,1627,Stratton Elementary School,899,2020-2021,0
Eustis Public Schools,1627,Stratton Elementary School,899,2018-2019,0
Eustis Public Schools,1627,Stratton Elementary School,899,2017-2018,0
Falmouth Public Schools,174,All Schools,  ,2023-2024,0
Falmouth Public Schools,174,All Schools,  ,2022-2023,2
Falmouth Public Schools,174,All Schools,  ,2021-2022,0
Falmouth Public Schools,174,All Schools,  ,2020-2021,0
Falmouth Public Schools,174,All Schools,  ,2018-2019,2
Falmouth Public Schools,174,All Schools,  ,2017-2018,0
Falmouth Public Schools,174,Falmouth Elementary School,179,2023-2024,0
Falmouth Public Schools,174,Falmouth Elementary School,179,2022-2023,1
Falmouth Public Schools,174,Falmouth Elementary School,179,2021-2022,0
Falmouth Public Schools,174,Falmouth Elementary School,179,2020-2021,0
Falmouth Public Schools,174,Falmouth Elementary School,179,2018-2019,1
Falmouth Public Schools,174,Falmouth Elementary School,179,2017-2018,0
Falmouth Public Schools,174,Falmouth High School,177,2023-2024,0
Falmouth Public Schools,174,Falmouth High School,177,2022-2023,0
Falmouth Public Schools,174,Falmouth High School,177,2021-2022,0
Falmouth Public Schools,174,Falmouth High School,177,2020-2021,0
Falmouth Public Schools,174,Falmouth High School,177,2018-2019,0
Falmouth Public Schools,174,Falmouth High School,177,2017-2018,0
Falmouth Public Schools,174,Falmouth Middle School,178,2023-2024,0
Falmouth Public Schools,174,Falmouth Middle School,178,2022-2023,1
Falmouth Public Schools,174,Falmouth Middle School,178,2021-2022,0
Falmouth Public Schools,174,Falmouth Middle School,178,2020-2021,0
Falmouth Public Schools,174,Falmouth Middle School,178,2018-2019,1
Falmouth Public Schools,174,Falmouth Middle School,178,2017-2018,0
Fayette Public Schools,180,All Schools,  ,2023-2024,0
Fayette Public Schools,180,All Schools,  ,2022-2023,0
Fayette Public Schools,180,All Schools,  ,2021-2022,0
Fayette Public Schools,180,All Schools,  ,2020-2021,0
Fayette Public Schools,180,All Schools,  ,2018-2019,0
Fayette Public Schools,180,All Schools,  ,2017-2018,0
Fayette Public Schools,180,Fayette Central School,181,2023-2024,0
Fayette Public Schools,180,Fayette Central School,181,2022-2023,0
Fayette Public Schools,180,Fayette Central School,181,2021-2022,0
Fayette Public Schools,180,Fayette Central School,181,2020-2021,0
Fayette Public Schools,180,Fayette Central School,181,2018-2019,0
Fayette Public Schools,180,Fayette Central School,181,2017-2018,0
Fiddlehead School of Arts and Sciences,1631,All Schools,  ,2023-2024,0
Fiddlehead School of Arts and Sciences,1631,All Schools,  ,2022-2023,0
Fiddlehead School of Arts and Sciences,1631,All Schools,  ,2021-2022,0
Fiddlehead School of Arts and Sciences,1631,All Schools,  ,2020-2021,0
Fiddlehead School of Arts and Sciences,1631,All Schools,  ,2019-2020,0
Fiddlehead School of Arts and Sciences,1631,All Schools,  ,2018-2019,0
Fiddlehead School of Arts and Sciences,1631,All Schools,  ,2017-2018,0
Fiddlehead School of Arts and Sciences,1631,Fiddlehead School of Arts & Science,1649,2023-2024,0
Fiddlehead School of Arts and Sciences,1631,Fiddlehead School of Arts & Science,1649,2022-2023,0
Fiddlehead School of Arts and Sciences,1631,Fiddlehead School of Arts & Science,1649,2021-2022,0
Fiddlehead School of Arts and Sciences,1631,Fiddlehead School of Arts & Science,1649,2020-2021,0
Fiddlehead School of Arts and Sciences,1631,Fiddlehead School of Arts & Science,1649,2019-2020,0
Fiddlehead School of Arts and Sciences,1631,Fiddlehead School of Arts & Science,1649,2018-2019,0
Fiddlehead School of Arts and Sciences,1631,Fiddlehead School of Arts & Science,1649,2017-2018,0
Five Town CSD,1065,All Schools,  ,2023-2024,0
Five Town CSD,1065,All Schools,  ,2022-2023,0
Five Town CSD,1065,All Schools,  ,2021-2022,0
Five Town CSD,1065,All Schools,  ,2020-2021,0
Five Town CSD,1065,All Schools,  ,2018-2019,0
Five Town CSD,1065,All Schools,  ,2017-2018,0
Five Town CSD,1065,Camden Hills Regional H S,1066,2023-2024,0
Five Town CSD,1065,Camden Hills Regional H S,1066,2022-2023,0
Five Town CSD,1065,Camden Hills Regional H S,1066,2021-2022,0
Five Town CSD,1065,Camden Hills Regional H S,1066,2020-2021,0
Five Town CSD,1065,Camden Hills Regional H S,1066,2019-2020,0
Five Town CSD,1065,Camden Hills Regional H S,1066,2018-2019,0
Five Town CSD,1065,Camden Hills Regional H S,1066,2017-2018,0
Foxcroft Academy,1154,Foxcroft Academy,1155,2023-2024,0
Foxcroft Academy,1154,Foxcroft Academy,1155,2022-2023,0
Foxcroft Academy,1154,Foxcroft Academy,1155,2021-2022,0
Foxcroft Academy,1154,Foxcroft Academy,1155,2020-2021,0
Foxcroft Academy,1154,Foxcroft Academy,1155,2019-2020,0
Foxcroft Academy,1154,Foxcroft Academy,1155,2018-2019,0
Foxcroft Academy,1154,Foxcroft Academy,1155,2017-2018,0
Frenchboro Public Schools,275,All Schools,  ,2023-2024,0
Frenchboro Public Schools,275,All Schools,  ,2022-2023,0
Frenchboro Public Schools,275,All Schools,  ,2021-2022,0
Frenchboro Public Schools,275,All Schools,  ,2020-2021,0
Frenchboro Public Schools,275,All Schools,  ,2019-2020,0
Frenchboro Public Schools,275,All Schools,  ,2018-2019,0
Frenchboro Public Schools,275,All Schools,  ,2017-2018,0
Frenchboro Public Schools,275,Frenchboro Elementary School,276,2023-2024,0
Frenchboro Public Schools,275,Frenchboro Elementary School,276,2022-2023,0
Frenchboro Public Schools,275,Frenchboro Elementary School,276,2021-2022,0
Frenchboro Public Schools,275,Frenchboro Elementary School,276,2020-2021,0
Frenchboro Public Schools,275,Frenchboro Elementary School,276,2019-2020,0
Frenchboro Public Schools,275,Frenchboro Elementary School,276,2017-2018,0
Fryeburg Academy,1180,All Schools,  ,2018-2019,0
Fryeburg Academy,1180,Fryeburg Academy,1181,2023-2024,0
Fryeburg Academy,1180,Fryeburg Academy,1181,2022-2023,0
Fryeburg Academy,1180,Fryeburg Academy,1181,2021-2022,0
Fryeburg Academy,1180,Fryeburg Academy,1181,2020-2021,0
Fryeburg Academy,1180,Fryeburg Academy,1181,2019-2020,0
Fryeburg Academy,1180,Fryeburg Academy,1181,2018-2019,0
Fryeburg Academy,1180,Fryeburg Academy,1181,2017-2018,0
George Stevens Academy,1121,All Schools,  ,2018-2019,0
George Stevens Academy,1121,All Schools,  ,2017-2018,0
George Stevens Academy,1121,George Stevens Academy,1122,2023-2024,0
George Stevens Academy,1121,George Stevens Academy,1122,2022-2023,0
George Stevens Academy,1121,George Stevens Academy,1122,2021-2022,0
George Stevens Academy,1121,George Stevens Academy,1122,2020-2021,0
George Stevens Academy,1121,George Stevens Academy,1122,2019-2020,0
George Stevens Academy,1121,George Stevens Academy,1122,2018-2019,0
George Stevens Academy,1121,George Stevens Academy,1122,2017-2018,0
Georgetown Public Schools,188,All Schools,  ,2023-2024,0
Georgetown Public Schools,188,All Schools,  ,2022-2023,0
Georgetown Public Schools,188,All Schools,  ,2021-2022,0
Georgetown Public Schools,188,All Schools,  ,2020-2021,0
Georgetown Public Schools,188,All Schools,  ,2018-2019,0
Georgetown Public Schools,188,All Schools,  ,2017-2018,0
Georgetown Public Schools,188,Georgetown Central School,189,2023-2024,0
Georgetown Public Schools,188,Georgetown Central School,189,2022-2023,0
Georgetown Public Schools,188,Georgetown Central School,189,2021-2022,0
Georgetown Public Schools,188,Georgetown Central School,189,2020-2021,0
Georgetown Public Schools,188,Georgetown Central School,189,2018-2019,0
Georgetown Public Schools,188,Georgetown Central School,189,2017-2018,0
Gilead Public Schools,190,All Schools,  ,2023-2024,0
Gilead Public Schools,190,All Schools,  ,2022-2023,0
Gilead Public Schools,190,All Schools,  ,2021-2022,0
Gilead Public Schools,190,All Schools,  ,2020-2021,0
Gilead Public Schools,190,All Schools,  ,2018-2019,0
Gilead Public Schools,190,All Schools,  ,2017-2018,0
Glenburn Public Schools,191,All Schools,  ,2023-2024,0
Glenburn Public Schools,191,All Schools,  ,2022-2023,1
Glenburn Public Schools,191,All Schools,  ,2021-2022,0
Glenburn Public Schools,191,All Schools,  ,2020-2021,0
Glenburn Public Schools,191,All Schools,  ,2018-2019,0
Glenburn Public Schools,191,All Schools,  ,2017-2018,0
Glenburn Public Schools,191,Glenburn Elementary School,192,2023-2024,0
Glenburn Public Schools,191,Glenburn Elementary School,192,2022-2023,1
Glenburn Public Schools,191,Glenburn Elementary School,192,2021-2022,0
Glenburn Public Schools,191,Glenburn Elementary School,192,2020-2021,0
Glenburn Public Schools,191,Glenburn Elementary School,192,2018-2019,0
Glenburn Public Schools,191,Glenburn Elementary School,192,2017-2018,0
Gorham Public Schools,194,All Schools,  ,2023-2024,0
Gorham Public Schools,194,All Schools,  ,2022-2023,0
Gorham Public Schools,194,All Schools,  ,2021-2022,0
Gorham Public Schools,194,All Schools,  ,2020-2021,0
Gorham Public Schools,194,All Schools,  ,2018-2019,1
Gorham Public Schools,194,All Schools,  ,2017-2018,0
Gorham Public Schools,194,Gorham High School,199,2023-2024,0
Gorham Public Schools,194,Gorham High School,199,2022-2023,0
Gorham Public Schools,194,Gorham High School,199,2021-2022,0
Gorham Public Schools,194,Gorham High School,199,2020-2021,0
Gorham Public Schools,194,Gorham High School,199,2019-2020,0
Gorham Public Schools,194,Gorham High School,199,2018-2019,0
Gorham Public Schools,194,Gorham High School,199,2017-2018,0
Gorham Public Schools,194,Gorham Middle School,201,2023-2024,0
Gorham Public Schools,194,Gorham Middle School,201,2022-2023,0
Gorham Public Schools,194,Gorham Middle School,201,2021-2022,0
Gorham Public Schools,194,Gorham Middle School,201,2020-2021,0
Gorham Public Schools,194,Gorham Middle School,201,2018-2019,0
Gorham Public Schools,194,Gorham Middle School,201,2017-2018,0
Gorham Public Schools,194,Great Falls Elementary School,202,2023-2024,0
Gorham Public Schools,194,Great Falls Elementary School,202,2022-2023,0
Gorham Public Schools,194,Great Falls Elementary School,202,2021-2022,0
Gorham Public Schools,194,Great Falls Elementary School,202,2020-2021,0
Gorham Public Schools,194,Great Falls Elementary School,202,2018-2019,1
Gorham Public Schools,194,Great Falls Elementary School,202,2017-2018,0
Gorham Public Schools,194,Narragansett Elementary School,200,2023-2024,0
Gorham Public Schools,194,Narragansett Elementary School,200,2022-2023,0
Gorham Public Schools,194,Narragansett Elementary School,200,2021-2022,0
Gorham Public Schools,194,Narragansett Elementary School,200,2020-2021,0
Gorham Public Schools,194,Narragansett Elementary School,200,2018-2019,0
Gorham Public Schools,194,Narragansett Elementary School,200,2017-2018,0
Gorham Public Schools,194,Village Elementary School-Gorham,197,2023-2024,0
Gorham Public Schools,194,Village Elementary School-Gorham,197,2022-2023,0
Gorham Public Schools,194,Village Elementary School-Gorham,197,2021-2022,0
Gorham Public Schools,194,Village Elementary School-Gorham,197,2020-2021,0
Gorham Public Schools,194,Village Elementary School-Gorham,197,2018-2019,0
Gorham Public Schools,194,Village Elementary School-Gorham,197,2017-2018,0
Grand Isle Public Schools,205,All Schools,  ,2023-2024,0
Grand Isle Public Schools,205,All Schools,  ,2022-2023,0
Grand Isle Public Schools,205,All Schools,  ,2021-2022,0
Grand Isle Public Schools,205,All Schools,  ,2020-2021,0
Grand Isle Public Schools,205,All Schools,  ,2018-2019,0
Grand Isle Public Schools,205,All Schools,  ,2017-2018,0
Grand Lake Stream Plt School Dept,207,All Schools,  ,2023-2024,0
Grand Lake Stream Plt School Dept,207,All Schools,  ,2022-2023,0
Grand Lake Stream Plt School Dept,207,All Schools,  ,2021-2022,0
Grand Lake Stream Plt School Dept,207,All Schools,  ,2020-2021,0
Grand Lake Stream Plt School Dept,207,All Schools,  ,2018-2019,0
Grand Lake Stream Plt School Dept,207,All Schools,  ,2017-2018,0
Great Salt Bay CSD,1054,All Schools,  ,2023-2024,0
Great Salt Bay CSD,1054,All Schools,  ,2022-2023,0
Great Salt Bay CSD,1054,All Schools,  ,2021-2022,0
Great Salt Bay CSD,1054,All Schools,  ,2020-2021,0
Great Salt Bay CSD,1054,All Schools,  ,2018-2019,0
Great Salt Bay CSD,1054,All Schools,  ,2017-2018,0
Great Salt Bay CSD,1054,Great Salt Bay Community School,1055,2023-2024,0
Great Salt Bay CSD,1054,Great Salt Bay Community School,1055,2022-2023,0
Great Salt Bay CSD,1054,Great Salt Bay Community School,1055,2021-2022,0
Great Salt Bay CSD,1054,Great Salt Bay Community School,1055,2020-2021,0
Great Salt Bay CSD,1054,Great Salt Bay Community School,1055,2018-2019,0
Great Salt Bay CSD,1054,Great Salt Bay Community School,1055,2017-2018,0
Greenbush Public Schools,208,All Schools,  ,2023-2024,0
Greenbush Public Schools,208,All Schools,  ,2022-2023,0
Greenbush Public Schools,208,All Schools,  ,2021-2022,0
Greenbush Public Schools,208,All Schools,  ,2020-2021,0
Greenbush Public Schools,208,All Schools,  ,2019-2020,0
Greenbush Public Schools,208,All Schools,  ,2018-2019,0
Greenbush Public Schools,208,All Schools,  ,2017-2018,0
Greenbush Public Schools,208,Helen S Dunn Elementary School,209,2023-2024,0
Greenbush Public Schools,208,Helen S Dunn Elementary School,209,2022-2023,0
Greenbush Public Schools,208,Helen S Dunn Elementary School,209,2021-2022,0
Greenbush Public Schools,208,Helen S Dunn Elementary School,209,2020-2021,0
Greenbush Public Schools,208,Helen S Dunn Elementary School,209,2018-2019,0
Greenbush Public Schools,208,Helen S Dunn Elementary School,209,2017-2018,0
Greenville Public Schools,210,All Schools,  ,2023-2024,0
Greenville Public Schools,210,All Schools,  ,2022-2023,0
Greenville Public Schools,210,All Schools,  ,2021-2022,0
Greenville Public Schools,210,All Schools,  ,2020-2021,0
Greenville Public Schools,210,All Schools,  ,2018-2019,0
Greenville Public Schools,210,All Schools,  ,2017-2018,0
Greenville Public Schools,210,Greenville Consolidated School,213,2023-2024,0
Greenville Public Schools,210,Greenville Consolidated School,213,2022-2023,0
Greenville Public Schools,210,Greenville Consolidated School,213,2021-2022,0
Greenville Public Schools,210,Greenville Consolidated School,213,2020-2021,0
Greenville Public Schools,210,Greenville Consolidated School,213,2018-2019,0
Greenville Public Schools,210,Greenville Consolidated School,213,2017-2018,0
Hancock Public Schools,1664,All Schools,  ,2023-2024,0
Hancock Public Schools,1664,All Schools,  ,2022-2023,0
Hancock Public Schools,1664,All Schools,  ,2021-2022,0
Hancock Public Schools,1664,All Schools,  ,2020-2021,0
Hancock Public Schools,1664,All Schools,  ,2018-2019,0
Hancock Public Schools,1664,All Schools,  ,2017-2018,0
Hancock Public Schools,1664,Hancock Grammar School,215,2023-2024,0
Hancock Public Schools,1664,Hancock Grammar School,215,2022-2023,0
