district,district_id,school_name,school_id,year,number
Auburn Public Schools,14,East Auburn Community School,15,2017-2018,0
Auburn Public Schools,14,Edward Little High School,23,2023-2024,1
Auburn Public Schools,14,Edward Little High School,23,2022-2023,0
Auburn Public Schools,14,Edward Little High School,23,2021-2022,0
Auburn Public Schools,14,Edward Little High School,23,2020-2021,0
Auburn Public Schools,14,Edward Little High School,23,2018-2019,1
Auburn Public Schools,14,Edward Little High School,23,2017-2018,0
Auburn Public Schools,14,Fairview School,16,2023-2024,0
Auburn Public Schools,14,Fairview School,16,2022-2023,0
Auburn Public Schools,14,Fairview School,16,2021-2022,0
Auburn Public Schools,14,Fairview School,16,2020-2021,0
Auburn Public Schools,14,Fairview School,16,2018-2019,0
Auburn Public Schools,14,Fairview School,16,2017-2018,0
Auburn Public Schools,14,Park Avenue Elementary School,27,2023-2024,11
Auburn Public Schools,14,Park Avenue Elementary School,27,2022-2023,4
Auburn Public Schools,14,Park Avenue Elementary School,27,2021-2022,3
Auburn Public Schools,14,Park Avenue Elementary School,27,2020-2021,0
Auburn Public Schools,14,Park Avenue Elementary School,27,2018-2019,6
Auburn Public Schools,14,Park Avenue Elementary School,27,2017-2018,0
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2023-2024,0
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2022-2023,0
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2021-2022,0
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2020-2021,0
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2018-2019,0
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2017-2018,0
Auburn Public Schools,14,Walton School,21,2023-2024,0
Auburn Public Schools,14,Walton School,21,2022-2023,0
Auburn Public Schools,14,Walton School,21,2021-2022,0
Auburn Public Schools,14,Walton School,21,2020-2021,0
Auburn Public Schools,14,Walton School,21,2018-2019,0
Auburn Public Schools,14,Walton School,21,2017-2018,0
Auburn Public Schools,14,Washburn School,19,2023-2024,0
Auburn Public Schools,14,Washburn School,19,2022-2023,0
Auburn Public Schools,14,Washburn School,19,2021-2022,0
Auburn Public Schools,14,Washburn School,19,2020-2021,0
Auburn Public Schools,14,Washburn School,19,2018-2019,0
Auburn Public Schools,14,Washburn School,19,2017-2018,0
Augusta Public Schools,28,All Schools,  ,2023-2024,2
Augusta Public Schools,28,All Schools,  ,2022-2023,1
Augusta Public Schools,28,All Schools,  ,2021-2022,6
Augusta Public Schools,28,All Schools,  ,2020-2021,0
Augusta Public Schools,28,All Schools,  ,2019-2020,0
Augusta Public Schools,28,All Schools,  ,2018-2019,0
Augusta Public Schools,28,All Schools,  ,2017-2018,3
Augusta Public Schools,28,Cony,37,2023-2024,1
Augusta Public Schools,28,Cony,37,2022-2023,0
Augusta Public Schools,28,Cony,37,2021-2022,0
Augusta Public Schools,28,Cony,37,2020-2021,0
Augusta Public Schools,28,Cony,37,2019-2020,0
Augusta Public Schools,28,Cony,37,2018-2019,0
Augusta Public Schools,28,Cony,37,2017-2018,1
Augusta Public Schools,28,Cony Middle School,2021,2023-2024,0
Augusta Public Schools,28,Cony Middle School,2021,2022-2023,0
Augusta Public Schools,28,Cony Middle School,2021,2021-2022,2
Augusta Public Schools,28,Cony Middle School,2021,2020-2021,0
Augusta Public Schools,28,Cony Middle School,2021,2019-2020,0
Augusta Public Schools,28,Cony Middle School,2021,2018-2019,0
Augusta Public Schools,28,Farrington School,34,2023-2024,1
Augusta Public Schools,28,Farrington School,34,2022-2023,1
Augusta Public Schools,28,Farrington School,34,2021-2022,2
Augusta Public Schools,28,Farrington School,34,2020-2021,0
Augusta Public Schools,28,Farrington School,34,2019-2020,0
Augusta Public Schools,28,Farrington School,34,2018-2019,0
Augusta Public Schools,28,Farrington School,34,2017-2018,2
Augusta Public Schools,28,Lillian Parks Hussey School,31,2023-2024,0
Augusta Public Schools,28,Lillian Parks Hussey School,31,2022-2023,0
Augusta Public Schools,28,Lillian Parks Hussey School,31,2021-2022,2
Augusta Public Schools,28,Lillian Parks Hussey School,31,2020-2021,0
Augusta Public Schools,28,Lillian Parks Hussey School,31,2019-2020,0
Augusta Public Schools,28,Lillian Parks Hussey School,31,2018-2019,0
Augusta Public Schools,28,Lillian Parks Hussey School,31,2017-2018,0
Augusta Public Schools,28,Lincoln School,35,2023-2024,0
Augusta Public Schools,28,Lincoln School,35,2022-2023,0
Augusta Public Schools,28,Lincoln School,35,2021-2022,0
Augusta Public Schools,28,Lincoln School,35,2020-2021,0
Augusta Public Schools,28,Lincoln School,35,2019-2020,0
Augusta Public Schools,28,Lincoln School,35,2018-2019,0
Augusta Public Schools,28,Lincoln School,35,2017-2018,0
Augusta Public Schools,28,Sylvio J Gilbert School,33,2023-2024,0
Augusta Public Schools,28,Sylvio J Gilbert School,33,2022-2023,0
Augusta Public Schools,28,Sylvio J Gilbert School,33,2021-2022,0
Augusta Public Schools,28,Sylvio J Gilbert School,33,2020-2021,0
Augusta Public Schools,28,Sylvio J Gilbert School,33,2019-2020,0
Augusta Public Schools,28,Sylvio J Gilbert School,33,2018-2019,0
Augusta Public Schools,28,Sylvio J Gilbert School,33,2017-2018,0
Baileyville Public Schools,38,All Schools,  ,2023-2024,0
Baileyville Public Schools,38,All Schools,  ,2022-2023,0
Baileyville Public Schools,38,All Schools,  ,2021-2022,0
Baileyville Public Schools,38,All Schools,  ,2020-2021,0
Baileyville Public Schools,38,All Schools,  ,2018-2019,0
Baileyville Public Schools,38,All Schools,  ,2017-2018,1
Baileyville Public Schools,38,Woodland Elementary School,40,2023-2024,0
Baileyville Public Schools,38,Woodland Elementary School,40,2022-2023,0
Baileyville Public Schools,38,Woodland Elementary School,40,2021-2022,0
Baileyville Public Schools,38,Woodland Elementary School,40,2020-2021,0
Baileyville Public Schools,38,Woodland Elementary School,40,2018-2019,0
Baileyville Public Schools,38,Woodland Elementary School,40,2017-2018,1
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2023-2024,0
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2022-2023,0
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2021-2022,0
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2020-2021,0
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2019-2020,0
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2018-2019,0
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2017-2018,0
Bangor Public Schools,42,Abraham Lincoln School,45,2023-2024,0
Bangor Public Schools,42,Abraham Lincoln School,45,2022-2023,2
Bangor Public Schools,42,Abraham Lincoln School,45,2021-2022,0
Bangor Public Schools,42,Abraham Lincoln School,45,2020-2021,0
Bangor Public Schools,42,Abraham Lincoln School,45,2018-2019,0
Bangor Public Schools,42,Abraham Lincoln School,45,2017-2018,0
Bangor Public Schools,42,Bangor High School,52,2023-2024,6
Bangor Public Schools,42,Bangor High School,52,2022-2023,1
Bangor Public Schools,42,Bangor High School,52,2021-2022,0
Bangor Public Schools,42,Bangor High School,52,2020-2021,0
Bangor Public Schools,42,Bangor High School,52,2018-2019,0
Bangor Public Schools,42,Bangor High School,52,2017-2018,0
Bangor Public Schools,42,Downeast School,48,2023-2024,0
Bangor Public Schools,42,Downeast School,48,2022-2023,0
Bangor Public Schools,42,Downeast School,48,2021-2022,0
Bangor Public Schools,42,Downeast School,48,2020-2021,0
Bangor Public Schools,42,Downeast School,48,2018-2019,0
Bangor Public Schools,42,Downeast School,48,2017-2018,0
Bangor Public Schools,42,Fairmount School,43,2023-2024,0
Bangor Public Schools,42,Fairmount School,43,2022-2023,0
Bangor Public Schools,42,Fairmount School,43,2021-2022,0
Bangor Public Schools,42,Fairmount School,43,2020-2021,0
Bangor Public Schools,42,Fairmount School,43,2018-2019,0
Bangor Public Schools,42,Fairmount School,43,2017-2018,0
Bangor Public Schools,42,Fourteenth Street School,49,2023-2024,0
Bangor Public Schools,42,Fourteenth Street School,49,2022-2023,0
Bangor Public Schools,42,Fourteenth Street School,49,2021-2022,0
Bangor Public Schools,42,Fourteenth Street School,49,2020-2021,0
Bangor Public Schools,42,Fourteenth Street School,49,2018-2019,0
Bangor Public Schools,42,Fourteenth Street School,49,2017-2018,0
Bangor Public Schools,42,Fruit Street School,44,2023-2024,0
Bangor Public Schools,42,Fruit Street School,44,2022-2023,0
Bangor Public Schools,42,Fruit Street School,44,2021-2022,0
Bangor Public Schools,42,Fruit Street School,44,2020-2021,0
Bangor Public Schools,42,Fruit Street School,44,2018-2019,0
Bangor Public Schools,42,Fruit Street School,44,2017-2018,0
Bangor Public Schools,42,James F. Doughty School,50,2023-2024,0
Bangor Public Schools,42,James F. Doughty School,50,2022-2023,0
Bangor Public Schools,42,James F. Doughty School,50,2021-2022,0
Bangor Public Schools,42,James F. Doughty School,50,2020-2021,0
Bangor Public Schools,42,James F. Doughty School,50,2018-2019,0
Bangor Public Schools,42,James F. Doughty School,50,2017-2018,0
Bangor Public Schools,42,Mary Snow School,46,2023-2024,4
Bangor Public Schools,42,Mary Snow School,46,2022-2023,2
Bangor Public Schools,42,Mary Snow School,46,2021-2022,0
Bangor Public Schools,42,Mary Snow School,46,2020-2021,0
Bangor Public Schools,42,Mary Snow School,46,2018-2019,0
Bangor Public Schools,42,Mary Snow School,46,2017-2018,0
Bangor Public Schools,42,Vine Street School,47,2023-2024,0
Bangor Public Schools,42,Vine Street School,47,2022-2023,0
Bangor Public Schools,42,Vine Street School,47,2021-2022,0
Bangor Public Schools,42,Vine Street School,47,2020-2021,0
Bangor Public Schools,42,Vine Street School,47,2018-2019,1
Bangor Public Schools,42,Vine Street School,47,2017-2018,0
Bangor Public Schools,42,William S. Cohen School,51,2023-2024,5
Bangor Public Schools,42,William S. Cohen School,51,2022-2023,5
Bangor Public Schools,42,William S. Cohen School,51,2021-2022,0
Bangor Public Schools,42,William S. Cohen School,51,2020-2021,0
Bangor Public Schools,42,William S. Cohen School,51,2018-2019,0
Bangor Public Schools,42,William S. Cohen School,51,2017-2018,0
Bar Harbor Public Schools,53,All Schools,  ,2023-2024,0
Bar Harbor Public Schools,53,All Schools,  ,2022-2023,0
Bar Harbor Public Schools,53,All Schools,  ,2021-2022,0
Bar Harbor Public Schools,53,All Schools,  ,2020-2021,0
Bar Harbor Public Schools,53,All Schools,  ,2018-2019,0
Bar Harbor Public Schools,53,All Schools,  ,2017-2018,0
Bar Harbor Public Schools,53,Conners-Emerson School,54,2023-2024,0
Bar Harbor Public Schools,53,Conners-Emerson School,54,2022-2023,0
