district,school,students,grades,year,students_required_to_test_science,students_tested_science,pct_students_tested_science,students_below_expectations_science,students_at_above_expectations_science,pct_below_expectations_science,pct_at_above_expectations_science,students_required_to_test_english,students_tested_english,pct_students_tested_english,students_below_expectations_english,students_at_above_expectations_english,pct_below_expectations_english,pct_at_above_expectations_english,students_required_to_test_ela,students_tested_ela,pct_students_tested_ela,students_below_expectations_ela,students_at_above_expectations_ela,pct_below_expectations_ela,pct_at_above_expectations_ela,students_required_to_test_math,students_tested_math,pct_students_tested_math,students_below_expectations_math,students_at_above_expectations_math,pct_below_expectations_math,pct_at_above_expectations_math,district_id,school_id,grade_span,ncesid,school_type,county,address,city,number,students_post_secondary,pct_students_post_secondary,population_group_enrollment,total_students,pct_in_population_group
South Portland Public Schools,All Schools,All Students,All Grades,2021,683,483,70.7%,-1.0,-1.0,-1.0%,-1.0%,"1,535","1,341",87.4%,208,"1,133",15.5%,84.5%,"1,535","1,341",87.40%,208,"1,133",15.50%,84.50%,"1,535","1,339",87.2%,271,"1,068",20.2%,79.8%,,,,,,,,,91.0,115,55.29%,"3,166","3,166",100.00%
South Portland Public Schools,All Schools,All Students,All Grades,2022,690,606,87.8%,418.0,188.0,69.0%,31.0%,"1,474","1,374",93.2%,224,"1,150",16.3%,83.7%,"1,474","1,374",93.20%,224,"1,150",16.30%,83.70%,"1,602","1,512",94.4%,352,"1,160",23.3%,76.7%,,,,,,,,,16.0,157,75.48%,"3,044","3,044",100.00%
South Portland Public Schools,All Schools,All Students,All Grades,2023,685,604,88.2%,403.0,201.0,66.7%,33.3%,"1,482","1,403",94.7%,513,890,36.6%,63.4%,"1,482","1,403",94.70%,513,890,36.60%,63.40%,"1,601","1,493",93.3%,743,750,49.8%,50.2%,,,,,,,,,2.0,143,65.60%,"2,894","2,894",100.00%
South Portland Public Schools,All Schools,All Students,All Grades,2024,676,607,89.8%,420.0,187.0,69.2%,30.8%,"1,423","1,372",96.4%,435,937,31.7%,68.3%,"1,423","1,372",96.40%,435,937,31.70%,68.30%,"1,462","1,417",96.9%,650,767,45.9%,54.1%,,,,,,,,,,163,64.17%,"2,831","2,831",100.00%
South Portland Public Schools,All Schools,All Students,All Grades,2025,630,581,92.2%,344.0,237.0,59.2%,40.8%,"1,445","1,406",97.3%,479,927,34.1%,65.9%,"1,445","1,406",97.30%,479,927,34.10%,65.90%,"1,478","1,434",97.0%,618,816,43.1%,56.9%,,,,,,,,,,,,,,
